,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2.50,  IP-SUISSELight wheat breadToast & Sandwich,M-Classic,620g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
1,3.30,  IP-SUISSEXL Toast,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
2,0.35,Fresh baker's yeast ,unknown,42g42g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
3,1.10,Light wheat breadPart baked,M-Budget,2 x 150g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
4,1.40,  CristalFine crystal sugar,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
5,3.80,  IP-SUISSEXL ToastWith wholewheat flour,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
6,1.45,Puff pastryRolled out and round ,M-Classic,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
7,5.25,Hazelnut nougat cream,Nutella,700g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
8,1.20,  IP-SUISSEToast bread light in slicesToast & Sandwich,M-Classic,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
9,2.80,Toast breadDark,Migros Bio,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
10,1.55,Cake doughLowered and round,M-Classic,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
11,1.70,Corn wafers,Lilibiggs,130g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
12,2.10,  IP-SUISSEWhite flour,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
13,2.10,IP-SUISSEOriginal spelt toast,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
14,1.30,Wholegrain oat flakesFine,Migros Bio,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
15,3.80,Butter croissantsPre-baked,M-Classic,240g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
16,2.30,Puff pastryFlattened and rectangular,M-Budget,2 x 320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
17,1.–,Household flour White flour,M-Budget,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
18,4.20,Pizza doughRolled out and square ,Anna's Best,40x25cm580g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
19,2.90,Pizza dough XLRolled out und square,M-Budget,800g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
