,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,1,3.30,  IP-SUISSEXL Toast,American Favorites,730.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
1,2,0.35,Fresh baker's yeast ,unknown,42.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
2,3,1.10,M-BudgetLight wheat breadPart baked,unknown,300.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
3,4,1.40,M-Classic  IP-SUISSEFine crystal sugar,unknown,1000.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
4,5,3.80,  IP-SUISSEXL ToastWith wholewheat flour,American Favorites,730.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
5,6,5.25,Hazelnut nougat cream,Nutella,700.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
6,8,1.20,M-Classic  IP-SUISSEToast bread light in slicesToast & Sandwich,unknown,250.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
7,9,2.80,Toast breadDark,Migros Bio,365.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
8,10,1.55,M-ClassicCake doughLowered and round,unknown,300.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
9,11,1.70,Corn wafers,Lilibiggs,130.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
10,12,2.10,M-Classic  IP-SUISSEWhite flour,unknown,1000.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
11,13,2.10,IP-SUISSEOriginal spelt toast,unknown,250.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
12,14,2.30,M-BudgetPuff pastryFlattened and rectangular,unknown,640.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
13,16,1.–,M-BudgetHousehold flour White flour,unknown,1000.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
14,17,2.90,M-BudgetPizza dough XLRolled out und square,unknown,800.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
15,18,2.20,Buns for hamburgers and sandwichesWith sesame,American Favorites,300.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
16,19,0.50,Fresh baker's yeast ,Migros Bio,42.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
17,20,2.95,M-Classic  IP-SUISSECrunchy bread rollsPre-baked,unknown,300.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
18,21,1.45,M-BudgetToast dark wheat bread,unknown,560.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
19,22,2.70,  IP-SUISSEDark breadSliced,Happy Bread,350.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
20,23,6.95,  TresorCrunchy cereal pillow with delicious Choco fillingChoco nut,Kellogg's,620.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
21,24,3.30,M-Classic  IP-SUISSELight wheat breadPart baked,unknown,300.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
22,25,2.80,Flambkuchen dough,Anna's Best,400.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
23,26,1.95,Milk Bread,unknown,350.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
24,27,2.10,IP-SUISSEWholemeal bread toast,unknown,280.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
25,28,1.50,Garlic baguettePre-baked,Farmland,175.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
26,29,2.95,"Buns for hamburgers and sandwiches, pre-cutXXL",American Favorites,310.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
27,30,1.45,M-BudgetToast light wheat bread,unknown,560.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
28,31,3.50,M-ClassicRusk,unknown,260.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
29,32,0.85,Dried yeast,Patissier,42.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
30,33,0.95,Corn wafers with salt,Alnatura,110.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
31,34,4.95,  Crunchy CreamSpread,Ovomaltine,400.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
32,35,2.50,Pita breadPart baked,unknown,500.0,"Bread, Pastries, & Breakfast",Migros,2023-05-23
