,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,8.30,Iced teaLemon,Ice Tea,10 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-18
1,6.60,Natural mineral waterStill,Evian,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
2,1.95,-BudgetOrange juice,M,1l,"Coffe, Drinks and Tea",Migros,2023-05-18
3,13.80,  ZeroLow-calorie soft drink,Coca-Cola,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
4,6.20,  ClassicNatural mineral waterSparkling,Aproz,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
5,3.75,-Classic  AquellaNatural mineral waterStill,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
6,6.50,-Budget  Energy DrinkSpecial drink containing caffeine,M,12 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-18
7,5.95,Soft drink,Coca-Cola,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-18
8,6.50,-Budget  Energy DrinkSpecial drink containing caffeineZero Sugar,M,12 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-18
9,5.95,  ZeroLow-calorie soft drink,Coca-Cola,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-18
10,4.95,SyrupRaspberry syrup ,Sirup,30%1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
11,8.70,  ZeroLow calorie lemonade,Coca-Cola,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-18
12,1.20,Lemon juice,Sicilia,200ml,"Coffe, Drinks and Tea",Migros,2023-05-18
13,13.80,Soft drink,Coca-Cola,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
14,3.75,-Classic  AquellaNatural mineral waterLightly sparkling,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-18
15,2.65,-Budget  Fruit FunMultivitamin fruit juiceWith ,M,12% fruit juices and 9 vitamins10 x 200ml,"Coffe, Drinks and Tea",Migros,2023-05-18
16,5.95,  MultivitamineMultivitamin fruit juiceWith ,Capri Sun,12% fruit juice10 x 200ml,"Coffe, Drinks and Tea",Migros,2023-05-18
17,0.60,-BudgetLemon juice,M,200ml,"Coffe, Drinks and Tea",Migros,2023-05-18
18,2.60,-ClassicApple juice,M,100% pome fruit juice made from concentrates6 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-18
