,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,8.30,Iced teaLemon,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-18
1,1,6.60,Natural mineral waterStill,Evian,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
2,2,1.95,-BudgetOrange juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-18
3,3,13.80,  ZeroLow-calorie soft drink,Coca-Cola,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
4,4,6.20,  ClassicNatural mineral waterSparkling,Aproz,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
5,5,3.75,-Classic  AquellaNatural mineral waterStill,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
6,6,6.50,-Budget  Energy DrinkSpecial drink containing caffeine,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-18
7,7,5.95,Soft drink,Coca-Cola,1.98,"Coffe, Drinks and Tea",Migros,2023-05-18
8,8,6.50,-Budget  Energy DrinkSpecial drink containing caffeineZero Sugar,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-18
9,9,5.95,  ZeroLow-calorie soft drink,Coca-Cola,1.98,"Coffe, Drinks and Tea",Migros,2023-05-18
10,10,4.95,SyrupRaspberry syrup 30%,Sirup,1.5,"Coffe, Drinks and Tea",Migros,2023-05-18
11,11,8.70,  ZeroLow calorie lemonade,Coca-Cola,3.0,"Coffe, Drinks and Tea",Migros,2023-05-18
12,12,1.20,Lemon juice,Sicilia,0.2,"Coffe, Drinks and Tea",Migros,2023-05-18
13,13,13.80,Soft drink,Coca-Cola,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
14,14,3.75,-Classic  AquellaNatural mineral waterLightly sparkling,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-18
15,17,0.60,-BudgetLemon juice,M,0.2,"Coffe, Drinks and Tea",Migros,2023-05-18
16,19,14.–,-Classic  FairtradeOrange juice,M,10.0,"Coffe, Drinks and Tea",Migros,2023-05-18
17,20,3.95,igros BioElderflower syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-18
18,21,10.95,Iced teaPeach,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-18
19,22,8.70,Lemonade,Coca-Cola,3.0,"Coffe, Drinks and Tea",Migros,2023-05-18
