,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,5.10,IP-SUISSESwiss eggs MFree range,unknown,10 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
1,3.95,The butterFrom pasteurized cream,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
2,Regional Price,  IP-SUISSESemi-skimmed milkUHT - 2.5% Fat,Valflora,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
3,1.95,Whole milkPAST,Migros Bio,1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
4,4.20,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
5,1.95,Semi-skimmed milkPAST - ,Migros Bio,2.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
6,4.90,Swiss eggs MFree range,Migros Bio,6 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
7,2.70,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
8,3.50,IP-SUISSESwiss eggs SFree range,unknown,6 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
9,2.10,Aha!Lactose free semi-skimmed milkUHT - ,unknown,1.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
10,2.80,Sour cream,Valflora,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
11,9.60,  IP-SUISSEWhole milkUHT - ,Valflora,3.5% Fat6 x 1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
12,1.–,Cream cheeseWith herbs,M-Budget,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
13,Regional Price,IP-SUISSESwiss eggs 53gFree-range production,unknown,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
14,3.50,Cooking butter,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
15,1.45,YogurtNature,Migros Bio,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
16,4.95,Imported eggs XSFree-range,M-Budget,15 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
17,1.55,  IP-SUISSEHalf creamUHT - ,Valflora,25% Fat250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
18,1.90,"  AOPSwiss hard cheese, full-fat, made from raw milkMild",Le Gruyère,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
19,2.90,"  Grana PadanoItalian extra hard cheese, grated, ",Da Emilio,"3/4 fat, from raw milkGrated120g","Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
20,2.30,MozzarellaBar,M-Budget,400g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
21,0.50,Yogurt stitch-proofMocha,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
22,3.60,Premium butter,Floralp,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
23,3.30,Cooking butter,M-Budget,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
24,2.40,Mozzarella,Galbani,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
