,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,1,3.95,The butterFrom pasteurized cream,unknown,250.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
1,4,4.20,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,250.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
2,7,2.70,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,120.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
3,10,2.80,Sour cream,Valflora,200.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
4,12,1.–,Cream cheeseWith herbs,M-Budget,150.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
5,14,3.50,Cooking butter,unknown,250.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
6,15,1.45,YogurtNature,Migros Bio,500.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
7,18,1.90,"  AOPSwiss hard cheese, full-fat, made from raw milkMild",Le Gruyère,100.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
8,19,2.90,"  Grana PadanoItalian extra hard cheese, grated, 3/4 fat, from raw milkGrated",Da Emilio,120.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
9,20,2.30,MozzarellaBar,M-Budget,400.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
10,21,0.50,Yogurt stitch-proofMocha,M-Classic,200.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
11,22,3.60,Premium butter,Floralp,200.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
12,23,3.30,Cooking butter,M-Budget,250.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
13,24,2.40,Mozzarella,Galbani,150.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
14,25,1.65,  ClassicoMozzarellaBall,Alfredo,150.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
15,26,1.95,YogurtMocha,M-Classic,750.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
16,27,1.80,Cottage CheesePlain,M-Classic,200.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
17,28,5.60,"  Grana PadanoItalian extra hard cheese, grated, 3/4 fat, from raw milkGrated",Da Emilio,250.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
18,30,1.85,Milk cream sliceWith milk and honey filling,Kinder,140.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
19,31,1.95,Cream cheeseNature,M-Budget,300.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
20,33,2.15,"  AOPSwiss hard cheese, full-fat, made from raw milkRecent",Le Gruyère,100.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
