ProductId,Price,Product,Producer,Quantity,TypeOfFood,Supermarket,Date
511,11.7,Coop,Coop,6.0,Dairy Products & Eggs,Coop,2023-05-23
512,11.7,Coop,Coop,6.0,Dairy Products & Eggs,Coop,2023-05-23
513,2.95,IP-Suisse Crème Fraîche Plain,Coop,0.2,Dairy Products & Eggs,Coop,2023-05-23
514,2.1,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
518,1.55,Single cream UHT IP-Suisse,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
520,1.95,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
521,16.9,Coop,Coop,12.0,Dairy Products & Eggs,Coop,2023-05-23
524,1.8,Pasteurized Milk Drink,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
525,2.05,Full Cream UHT IP-Suisse,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
535,16.95,Coop,Coop,12.0,Dairy Products & Eggs,Coop,2023-05-23
538,3.75,Full Cream UHT IP-Suisse,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
540,2.6,Thai Kitchen Coconut Milk,Thai Kitchen,0.25,Dairy Products & Eggs,Coop,2023-05-23
541,3.75,Oatly Oat Milk Barista Edition,OATLY,1.0,Dairy Products & Eggs,Coop,2023-05-23
546,2.95,Halbrahm UHT,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
548,1.6,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
549,2.15,Coffee Cream IP-Suisse,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
552,2.1,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
558,1.95,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
570,3.95,alpro Unsweetened Almond Drink,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
574,3.3,Coop,Coop,1.75,Dairy Products & Eggs,Coop,2023-05-23
579,2.5,Coffee Cream Portions IP-Suisse 40x12g,Coop,0.48,Dairy Products & Eggs,Coop,2023-05-23
584,16.95,Coop,Coop,12.0,Dairy Products & Eggs,Coop,2023-05-23
590,1.0,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
592,2.1,Rama,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
597,1.8,Pasteurized Whole Milk IP-Suisse,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
604,2.2,Single Cream for Sauces IP-Suisse,Coop,0.2,Dairy Products & Eggs,Coop,2023-05-23
609,3.3,Half-fat cream UHT IP-Suisse 3x125ml,Coop,0.375,Dairy Products & Eggs,Coop,2023-05-23
615,2.4,Emmi good day,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
621,2.0,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
623,2.85,Emmi good day Protein Milk UHT,Emmi good day,1.0,Dairy Products & Eggs,Coop,2023-05-23
631,,None,None,0.5,Dairy Products & Eggs,Coop,2023-05-23
636,,None,None,0.5,Dairy Products & Eggs,Coop,2023-05-23
639,1.4,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
642,4.3,Thai Kitchen Coconut Milk,Thai Kitchen,0.5,Dairy Products & Eggs,Coop,2023-05-23
643,5.3,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
650,2.95,alpro Original Soya Drink with Calcium,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
652,3.5,alpro Oat drink no sugars,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
655,3.15,Pasteurized Milk Drink,Coop,1.75,Dairy Products & Eggs,Coop,2023-05-23
656,16.95,Coop,Coop,12.0,Dairy Products & Eggs,Coop,2023-05-23
669,2.55,Thai Kitchen Light Coconut Milk,Thai Kitchen,0.25,Dairy Products & Eggs,Coop,2023-05-23
670,2.8,Free From Halbrahm UHT 250ml,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
677,,None,None,1.0,Dairy Products & Eggs,Coop,2023-05-23
682,1.6,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
684,3.3,Coop,Coop,1.75,Dairy Products & Eggs,Coop,2023-05-23
689,4.4,Whole cream UHT IP-Suisse 3x125ml,Coop,0.375,Dairy Products & Eggs,Coop,2023-05-23
690,3.5,alpro Vanilla Soya Drink,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
707,4.3,Half-Fat Cream,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
716,2.0,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
720,3.15,Pasteurized Whole Milk,Coop,1.75,Dairy Products & Eggs,Coop,2023-05-23
721,2.9,Thai Kitchen Organic Coconut Milk,Thai Kitchen,0.25,Dairy Products & Eggs,Coop,2023-05-23
723,,Qualité &,None,0.25,Dairy Products & Eggs,Coop,2023-05-23
725,2.5,Naturaplan organic plain kefir yoghurt drink,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
726,1.35,Coffee Cream IP-Suisse,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
729,1.0,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
733,1.95,Oatly Oat Milk Barista Edition,OATLY,0.5,Dairy Products & Eggs,Coop,2023-05-23
735,4.2,Emmi,Coop,0.33,Dairy Products & Eggs,Coop,2023-05-23
746,3.35,Karma Organic Almond Drink Barista,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
750,2.4,Emmi good day Milk Drink UHT,Emmi good day,1.0,Dairy Products & Eggs,Coop,2023-05-23
751,2.25,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
755,1.95,Alpro Soya Cooking Mix,alpro,0.25,Dairy Products & Eggs,Coop,2023-05-23
771,,None,None,1.0,Dairy Products & Eggs,Coop,2023-05-23
781,2.1,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
782,2.7,Naturaplan Organic Coffee Cream,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
788,2.65,Naturaplan Organic UHT Whole Cream,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
792,2.95,IP Vollrahm past.,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
800,2.1,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
805,,None,None,0.4,Dairy Products & Eggs,Coop,2023-05-23
806,2.0,Coop,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
809,2.95,alpro Unsweetened Soya Drink,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
817,15.9,Coop,Coop,9.0,Dairy Products & Eggs,Coop,2023-05-23
820,2.1,Rama,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
831,3.05,Free From Vollrahm UHT 250ml,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
834,3.95,alpro Unsweetened Coconut Drink,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
841,15.0,Coop,Coop,9.0,Dairy Products & Eggs,Coop,2023-05-23
850,,None,None,1.0,Dairy Products & Eggs,Coop,2023-05-23
855,2.0,Karma Bio Sojadrink,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
861,3.0,Karma Organic Rice Drink with Calcium,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
863,,None,None,1.5,Dairy Products & Eggs,Coop,2023-05-23
865,3.75,alpro Barista oat milk,alpro,1.0,Dairy Products & Eggs,Coop,2023-05-23
871,1.95,Oatly Oat Cuisine for cooking,OATLY,0.25,Dairy Products & Eggs,Coop,2023-05-23
872,3.25,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
875,1.2,Coop,Coop,0.5,Dairy Products & Eggs,Coop,2023-05-23
876,3.5,alpro,Coop,1.0,Dairy Products & Eggs,Coop,2023-05-23
884,0.7,Coop,Coop,0.25,Dairy Products & Eggs,Coop,2023-05-23
893,,None,None,1.5,Dairy Products & Eggs,Coop,2023-05-23
895,10.3,Gourmet La Crème Clarified Cream,Cremo,0.4,Dairy Products & Eggs,Coop,2023-05-23
903,1.95,Rama,Coop,0.2,Dairy Products & Eggs,Coop,2023-05-23
