,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,8.30,Iced teaLemon,Ice Tea,10 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
1,1.95,-BudgetOrange juice,M,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
2,6.50,-Budget  Energy DrinkSpecial drink containing caffeine,M,12 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
3,6.50,-Budget  Energy DrinkSpecial drink containing caffeineZero Sugar,M,12 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
4,5.95,Coca-Cola  ZeroLow-calorie soft drink,unknown,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-24
5,6.20,  ClassicNatural mineral waterSparkling,Aproz,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
6,5.95,Coca-ColaSoft drink,unknown,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-24
7,3.75,-Classic  AquellaNatural mineral waterStill,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
8,6.30,Natural mineral waterSparkling,San Pellegrino,6 x 1.25l,"Coffe, Drinks and Tea",Migros,2023-05-24
9,1.20,Lemon juice,Sicilia,200ml,"Coffe, Drinks and Tea",Migros,2023-05-24
10,8.70,Coca-Cola  ZeroLow calorie lemonade,unknown,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
11,4.95,SyrupRaspberry syrup ,Sirup,30%1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
12,5.95,  MultivitamineMultivitamin fruit juiceWith ,Capri Sun,12% fruit juice10 x 200ml,"Coffe, Drinks and Tea",Migros,2023-05-24
13,5.30,Orange juicePressed,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
14,3.75,-Classic  AquellaNatural mineral waterLightly sparkling,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
15,2.65,-Budget  Fruit FunMultivitamin fruit juiceWith ,M,12% fruit juices and 9 vitamins10 x 200ml,"Coffe, Drinks and Tea",Migros,2023-05-24
16,19.80,"Coffee CapsulesLungo Crema, Delizio system",Delizio,288g,"Coffe, Drinks and Tea",Migros,2023-05-24
17,8.70,Coca-ColaLemonade,unknown,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
18,0.60,-BudgetLemon juice,M,200ml,"Coffe, Drinks and Tea",Migros,2023-05-24
19,1.95,-Classic  BreakfastFruit juice,M,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
20,3.50,igros BioOrange juice,M,75cl,"Coffe, Drinks and Tea",Migros,2023-05-24
21,3.95,igros BioElderflower syrup,M,50cl,"Coffe, Drinks and Tea",Migros,2023-05-24
22,35.60,Energy drink,Red Bull,24 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
23,1.90,"  MateRefreshing drinkMate, guarana extract, caffeine",El Tony,330ml,"Coffe, Drinks and Tea",Migros,2023-05-24
24,10.95,Iced teaPeach,Ice Tea,10 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
25,14.–,-Classic  FairtradeOrange juice,M,10 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
26,2.60,-ClassicApple juice,M,100% pome fruit juice made from concentrates6 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
27,3.95,  ClassicNatural mineral waterSparkling,Aproz,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
28,5.60,Natural mineral waterStill,Evian,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
29,2.50,SyrupGrenadine with flavoring and vanilla extract,Sirup,750ml,"Coffe, Drinks and Tea",Migros,2023-05-24
30,6.20,  MediumNatural mineral waterLightly sparkling,Aproz,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
31,6.20,  CristalNatural mineral waterStill,Aproz,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
32,4.90,orandSyrupGrenadine,M,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
33,8.30,Iced teaLemon - Light,Ice Tea,10 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
34,5.30,Blood orange juicePressed,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
35,3.70,SyrupRaspberry ,Sirup,30%750ml,"Coffe, Drinks and Tea",Migros,2023-05-24
36,4.95,Natural mineral waterStill,Rocchetta,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
37,5.30,Orange apricot carrot juicePressed,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
38,3.95,  CristalNatural mineral waterStill,Aproz,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
39,1.70,Iced teaLemon,Ice Tea,2l,"Coffe, Drinks and Tea",Migros,2023-05-24
40,1.60,Fennel TeaOrganic,Klostergarten,40g,"Coffe, Drinks and Tea",Migros,2023-05-24
41,9.20,  SportcapNatural mineral waterStill,Evian,12 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-24
42,3.45,-BudgetSyrupRaspberry,M,1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
43,3.55,-Budget  ZeroTable waterWith lemon flavor,M,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
44,19.95,igros BioOrange juice,M,6 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
45,6.60,  SportcapNatural mineral waterStill,Evian,6 x 750ml,"Coffe, Drinks and Tea",Migros,2023-05-24
46,1.–,Coca-ColaSoft drinkVanilla,unknown,250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
47,1.80,Lemon juice,Alnatura,200ml,"Coffe, Drinks and Tea",Migros,2023-05-24
48,3.95,  MediumNatural mineral waterLightly sparkling,Aproz,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
49,1.10,igros BioTeaPeppermint,M,28g,"Coffe, Drinks and Tea",Migros,2023-05-24
50,1.60,-Classic  FairtradeMild orange juice,M,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
51,4.95,  SanbitterCarbonated SanbitterReady-to-drink non-alcoholic bitter,San Pellegrino,6 x 100ml,"Coffe, Drinks and Tea",Migros,2023-05-24
52,2.80,Iced teaLemon,Ice Tea,6 x 330ml,"Coffe, Drinks and Tea",Migros,2023-05-24
53,1.10,igros BioTeaChamomile,M,22g,"Coffe, Drinks and Tea",Migros,2023-05-24
54,19.80,"Coffee CapsulesEspresso, Delizio system",Delizio,288g,"Coffe, Drinks and Tea",Migros,2023-05-24
55,1.50,-BudgetMultifruit nectarWith ,M,50% fruit juice1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
56,2.50,-Classic  FairtradeOrange juice,M,6 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
57,14.95,Carbonated drinkWith ,Rivella,35% milk serum - red6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
58,3.75,-BudgetInstant cocoa drink,M,1kg,"Coffe, Drinks and Tea",Migros,2023-05-24
59,6.50,Natural mineral waterStill,Vittel,6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
60,19.80,"Coffee CapsulesLungo Fortissimo, Delizio system",Delizio,288g,"Coffe, Drinks and Tea",Migros,2023-05-24
61,7.95,  ZeroIced teaLemon,Ice Tea,6x1L,"Coffe, Drinks and Tea",Migros,2023-05-24
62,6.30,Natural mineral waterStill,Evian,6 x 1l,"Coffe, Drinks and Tea",Migros,2023-05-24
63,3.55,-Budget  ZeroTable water with ,M,4% grapefruit juiceWith 4% grapefruit juice6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
64,14.95,Carbonated drinkWith ,Rivella,35% milk serum - low-calorie - blue6 x 1.5l,"Coffe, Drinks and Tea",Migros,2023-05-24
65,10.95,  ClassicoCoffee beansPowerfully &racy,Boncampo,1kg,"Coffe, Drinks and Tea",Migros,2023-05-24
66,35.60,  SugarfreeEnergy drink,Red Bull,24 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
67,13.50, Well  ReloadVitamin waterLemon & lime,Vitamin,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
68,5.30,Exotic multi-fruit juice,Andros,1l,"Coffe, Drinks and Tea",Migros,2023-05-24
69,1.85,  BioVerbena tea,Klostergarten,26g,"Coffe, Drinks and Tea",Migros,2023-05-24
70,16.95,  TraditionCoffee beans,Chicco D'Oro,1kg,"Coffe, Drinks and Tea",Migros,2023-05-24
71,5.70,Natural mineral waterSparkling,San Pellegrino,6 x 500ml,"Coffe, Drinks and Tea",Migros,2023-05-24
72,8.95,Energy drink,Red Bull,6 x 250ml,"Coffe, Drinks and Tea",Migros,2023-05-24
