,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,16,19.80,"Coffee CapsulesLungo Crema, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
1,40,1.60,Fennel TeaOrganic,Klostergarten,40.0,"Coffe, Drinks and Tea",Migros,2023-05-24
2,49,1.10,igros BioTeaPeppermint,M,28.0,"Coffe, Drinks and Tea",Migros,2023-05-24
3,53,1.10,igros BioTeaChamomile,M,22.0,"Coffe, Drinks and Tea",Migros,2023-05-24
4,54,19.80,"Coffee CapsulesEspresso, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
5,58,3.75,-BudgetInstant cocoa drink,M,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
6,60,19.80,"Coffee CapsulesLungo Fortissimo, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
7,65,10.95,  ClassicoCoffee beansPowerfully &racy,Boncampo,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
8,69,1.85,  BioVerbena tea,Klostergarten,26.0,"Coffe, Drinks and Tea",Migros,2023-05-24
9,70,16.95,  TraditionCoffee beans,Chicco D'Oro,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
10,76,12.30,Cocoa powder,Caotina,800.0,"Coffe, Drinks and Tea",Migros,2023-05-24
11,79,2.10,igros Bio  FairtradeBlack tea,M,40.0,"Coffe, Drinks and Tea",Migros,2023-05-24
12,82,19.80,"Coffee CapsulesLungo Leggero, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
13,84,5.45,Black teaEnglish,Tetley,100.0,"Coffe, Drinks and Tea",Migros,2023-05-24
14,88,2.45,Flavored fruit tea blend with forest fruit flavorFantastic Berries,Tea Time,100.0,"Coffe, Drinks and Tea",Migros,2023-05-24
15,94,8.70,igros Bio  FairtradeOrganic ground coffee100% arabica,M,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
16,99,7.50,"-ClassicCoffee CapsulesLungo, compatible with the Nespresso® system",M,156.0,"Coffe, Drinks and Tea",Migros,2023-05-24
17,100,21.95,Coffee beansMocha Surfin,La Semeuse,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
18,101,19.80,"  LungoCoffee capsules decaffeinatedDecaffeinato, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
19,104,3.–,Black teaEarl Grey Extra,Tetley,50.0,"Coffe, Drinks and Tea",Migros,2023-05-24
20,105,7.95,"-BudgetCafé en grainsIn beans, 3/5  intensity",M,100.0,"Coffe, Drinks and Tea",Migros,2023-05-24
21,106,0.85,Iced tea powderWatermelon,Ice Tea,70.0,"Coffe, Drinks and Tea",Migros,2023-05-24
22,112,12.45,  GoldInstant coffeeIntensity ,Nescafé,6180.0,"Coffe, Drinks and Tea",Migros,2023-05-24
23,113,14.95,  Gusto ItalianoCoffee beansImperial Crema,Caruso,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
24,114,7.20,  OriginalRefill bag Fine cocoa drink,Caotina,400.0,"Coffe, Drinks and Tea",Migros,2023-05-24
25,115,6.70,-BudgetInstant drinkIce Tea Lemon,M,1200.0,"Coffe, Drinks and Tea",Migros,2023-05-24
26,118,3.–,Black teaEnglish Breakfast,Tetley,50.0,"Coffe, Drinks and Tea",Migros,2023-05-24
27,124,8.90,"-BudgetCoffee CapsulesEspresso, compatible Delizio system",M,280.0,"Coffe, Drinks and Tea",Migros,2023-05-24
28,126,10.95,Instant coffeeClassic,Cafino,550.0,"Coffe, Drinks and Tea",Migros,2023-05-24
29,128,8.70,igros Bio  FairtradeOrganic bean coffee100% arabica,M,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
30,133,4.95,-BudgetCoffee CapsulesCompatible with Nespresso® system,M,150.0,"Coffe, Drinks and Tea",Migros,2023-05-24
31,147,7.50,"-ClassicCoffee CapsulesRoma, compatible with the Nespresso® system",M,156.0,"Coffe, Drinks and Tea",Migros,2023-05-24
32,150,1.85,Thyme herb teaOrganic,Klostergarten,32.0,"Coffe, Drinks and Tea",Migros,2023-05-24
33,159,19.80,"  RistrettoCoffee CapsulesRistretto Forte, Delizio system",Delizio,288.0,"Coffe, Drinks and Tea",Migros,2023-05-24
34,160,10.20,  Exquisito OroInstant coffee100% arabica,Noblesse,200.0,"Coffe, Drinks and Tea",Migros,2023-05-24
35,161,18.95,Aluminum coffee capsulesEspresso,La Semeuse,171.0,"Coffe, Drinks and Tea",Migros,2023-05-24
36,165,2.20,Green Tea Jasmine,Alnatura,30.0,"Coffe, Drinks and Tea",Migros,2023-05-24
37,166,3.15,Green teaClassic,Tetley,37.5,"Coffe, Drinks and Tea",Migros,2023-05-24
38,167,11.50,– Ground coffeeMocha Surfin,La Semeuse,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
39,168,2.60,igros BioGreen teaFlavored with jasmine blossoms,M,40.0,"Coffe, Drinks and Tea",Migros,2023-05-24
40,170,2.45,Flavored fruit tea blend with apple flavorFantastic Apple,Tea Time,100.0,"Coffe, Drinks and Tea",Migros,2023-05-24
41,174,4.80,"Herb and spice tea blend, flavored with fruit extractGinger-Lemon Tea",Yogi Tea,30.0,"Coffe, Drinks and Tea",Migros,2023-05-24
42,177,5.95,"  La SemeuseCoffee CapsulesEspresso originale, Delizio System",Delizio,72.0,"Coffe, Drinks and Tea",Migros,2023-05-24
43,180,10.90,"  TraditionCoffee, ground",Chicco D'Oro,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
44,185,2.25,Flavored fruit tea blend with strawberry and raspberry flavorThe Original,Tea Time,100.0,"Coffe, Drinks and Tea",Migros,2023-05-24
45,186,13.80,Refill bag Ovomaltine powder,Ovomaltine,800.0,"Coffe, Drinks and Tea",Migros,2023-05-24
46,191,2.90,igros Bio  EngagementAlpine herbal tea blend,M,33.8,"Coffe, Drinks and Tea",Migros,2023-05-24
47,192,13.95,Coffee beansMocca organic - Fair trade,La Semeuse,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
48,193,2.35,igros BioTeaLinden blossoms,M,24.0,"Coffe, Drinks and Tea",Migros,2023-05-24
49,194,2.10,igros BioFruit infusionDelicate and balanced,M,30.0,"Coffe, Drinks and Tea",Migros,2023-05-24
50,195,3.95,"  ZeroIced tea powderLemon, sugar-free",Ice Tea,23.0,"Coffe, Drinks and Tea",Migros,2023-05-24
51,196,2.20,Earl Grey Tea,Alnatura,35.0,"Coffe, Drinks and Tea",Migros,2023-05-24
52,201,13.95,  Gold De LuxeInstant coffeeIntensity ,Nescafé,7200.0,"Coffe, Drinks and Tea",Migros,2023-05-24
53,202,0.95,Peppermint,Tea Time,70.0,"Coffe, Drinks and Tea",Migros,2023-05-24
54,211,1.95,Fennel Aniseed-Cumin TeaIn bag,Alnatura,45.0,"Coffe, Drinks and Tea",Migros,2023-05-24
55,214,8.50,igros BioAromatic coffee substituteCafino Cereal,M,200.0,"Coffe, Drinks and Tea",Migros,2023-05-24
56,215,4.80,Herb and seasoning mixEvening tea,Yogi Tea,29.0,"Coffe, Drinks and Tea",Migros,2023-05-24
57,223,3.65,InfusionRooibos Vanilla,Tetley,35.0,"Coffe, Drinks and Tea",Migros,2023-05-24
58,225,14.95,Coffee beansClassico all'italiana,Espresso,1000.0,"Coffe, Drinks and Tea",Migros,2023-05-24
59,226,18.95,Aluminum coffee capsulesLungo,La Semeuse,184.0,"Coffe, Drinks and Tea",Migros,2023-05-24
60,228,6.35,"  Dolce GustoCoffee CapsulesEspresso, NESCAFÉ Dolce Gusto system",Nescafé,88.0,"Coffe, Drinks and Tea",Migros,2023-05-24
61,237,10.50,"  Café ZAUNSoluble coffee, decaffeinated100% arabica",Noblesse,200.0,"Coffe, Drinks and Tea",Migros,2023-05-24
62,239,10.90,  TraditionCoffee beans,Chicco D'Oro,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
63,240,9.95," ClassicoRoasted coffeeGround, espresso, 4/5  intensity",Espresso,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
64,244,4.95,"Coffee, groundDecaffeinated",Café Zaun,250.0,"Coffe, Drinks and Tea",Migros,2023-05-24
65,246,5.90,"Coffee CapsulesLungo Vaniglia, Delizio system",Delizio,72.0,"Coffe, Drinks and Tea",Migros,2023-05-24
66,248,2.95,Chai TeaIn bag,Alnatura,40.0,"Coffe, Drinks and Tea",Migros,2023-05-24
67,250,9.95,  OroCoffeeGround,Caruso,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
68,253,2.95,Liver and gall teaFor liver and biliary troubles,Klostergarten,30.0,"Coffe, Drinks and Tea",Migros,2023-05-24
69,256,7.95,Refill bag Ovomaltine powder,Ovomaltine,400.0,"Coffe, Drinks and Tea",Migros,2023-05-24
70,267,8.95,"Coffee, groundNoble and balanced",Exquisito,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
71,274,5.50,Premium soluble coffeeCaramel latte,Starbucks,115.0,"Coffe, Drinks and Tea",Migros,2023-05-24
72,276,5.95,Aluminum coffee capsulesEspresso,La Semeuse,52.0,"Coffe, Drinks and Tea",Migros,2023-05-24
73,280,6.20,"  ClassicoCoffee, groundPowerful & racy",Boncampo,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
74,281,9.75,  Gusto ItalianoCoffee beansEspresso,Caruso,500.0,"Coffe, Drinks and Tea",Migros,2023-05-24
75,286,1.85,Organic nettle leaves,Klostergarten,26.0,"Coffe, Drinks and Tea",Migros,2023-05-24
