,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,8.30,Iced teaLemon,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
1,1,1.95,-BudgetOrange juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
2,2,6.50,-Budget  Energy DrinkSpecial drink containing caffeine,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
3,3,6.50,-Budget  Energy DrinkSpecial drink containing caffeineZero Sugar,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
4,4,5.95,Coca-Cola  ZeroLow-calorie soft drink,unknown,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
5,5,6.20,  ClassicNatural mineral waterSparkling,Aproz,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
6,6,5.95,Coca-ColaSoft drink,unknown,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
7,7,3.75,-Classic  AquellaNatural mineral waterStill,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
8,8,6.30,Natural mineral waterSparkling,San Pellegrino,7.5,"Coffe, Drinks and Tea",Migros,2023-05-24
9,9,1.20,Lemon juice,Sicilia,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
10,10,8.70,Coca-Cola  ZeroLow calorie lemonade,unknown,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
11,11,4.95,SyrupRaspberry syrup 30%,Sirup,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
12,13,5.30,Orange juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
13,14,3.75,-Classic  AquellaNatural mineral waterLightly sparkling,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
14,17,8.70,Coca-ColaLemonade,unknown,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
15,18,0.60,-BudgetLemon juice,M,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
16,19,1.95,-Classic  BreakfastFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
17,20,3.50,igros BioOrange juice,M,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
18,21,3.95,igros BioElderflower syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
19,22,35.60,Energy drink,Red Bull,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
20,23,1.90,"  MateRefreshing drinkMate, guarana extract, caffeine",El Tony,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
21,24,10.95,Iced teaPeach,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
22,25,14.–,-Classic  FairtradeOrange juice,M,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
23,27,3.95,  ClassicNatural mineral waterSparkling,Aproz,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
24,28,5.60,Natural mineral waterStill,Evian,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
