,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,5.10,IP-SUISSESwiss eggs MFree range,unknown,10 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
1,3.95,The butterFrom pasteurized cream,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
2,Regional Price,  IP-SUISSESemi-skimmed milkUHT - 2.5% Fat,Valflora,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
3,1.95,Whole milkPAST,Migros Bio,1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
4,4.20,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
5,4.90,Swiss eggs MFree range,Migros Bio,6 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
6,2.80,Sour cream,Valflora,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
7,2.70,"  AOPSwiss full-fat hard cheese,, from pasteurized milkGrated",Le Gruyère,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
8,1.95,Semi-skimmed milkPAST - ,Migros Bio,2.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
9,2.10,Aha!Lactose free semi-skimmed milkUHT - ,unknown,1.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
10,3.50,IP-SUISSESwiss eggs SFree range,unknown,6 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
11,9.60,  IP-SUISSEWhole milkUHT - ,Valflora,3.5% Fat6 x 1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
12,Regional Price,IP-SUISSESwiss eggs 53gFree-range production,unknown,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
13,3.50,Cooking butter,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
14,2.90,"  Grana PadanoItalian extra hard cheese, grated, ",Da Emilio,"3/4 fat, from raw milkGrated120g","Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
15,1.–,M-BudgetCream cheeseWith herbs,unknown,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
16,3.30,M-BudgetCooking butter,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
17,1.55,  IP-SUISSEHalf creamUHT - ,Valflora,25% Fat250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
18,3.60,Premium butter,Floralp,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
19,4.95,M-BudgetImported eggs XSFree-range,unknown,15 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
20,2.30,M-BudgetMozzarellaBar,unknown,400g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
21,2.40,Mozzarella,Galbani,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
22,1.90,"  AOPSwiss hard cheese, full-fat, made from raw milkMild",Le Gruyère,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
23,1.45,YogurtNature,Migros Bio,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
24,5.60,"  Grana PadanoItalian extra hard cheese, grated, ",Da Emilio,"3/4 fat, from raw milkGrated250g","Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
25,0.50,M-ClassicYogurt stitch-proofMocha,unknown,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
26,2.05,  IP-SUISSEWhole creamUHT - ,Valflora,35% Fat250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
27,1.80,M-ClassicCottage CheesePlain,unknown,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
28,1.85,Milk cream sliceWith milk and honey filling,Kinder,5 x 28g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
29,1.95,M-ClassicYogurtMocha,unknown,6 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
30,2.10,Oat-based drinkUnsweetened,Alnatura,1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
31,2.70,  IP-SUISSEHalf creamUHT - ,Valflora,25% Fat500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
32,Regional Price,Swiss full-fat hard cheese from pasteurized milkMild,Tilsiter,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
33,1.95,Semi-skimmed milkUHT - ,Migros Bio,2.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
34,1.95,Whole milkUHT - ,Migros Bio,3.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
35,3.50,Whole creamUHT - ,Valflora,35% Fat500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
36,2.15,"  AOPSwiss hard cheese, full-fat, made from raw milkRecent",Le Gruyère,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
37,3.20,Feta,Migros Bio,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
38,1.95,M-BudgetCream cheeseNature,unknown,300g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
39,1.95,  IP-SUISSESemi-skimmed milkHOCH PAST - ,Heidi,2.5% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
40,3.20,Melted cheese,Gruyère,10 slices200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
41,0.50,M-ClassicYogurt stitch-proofChocolate,unknown,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
42,3.15,"M-BudgetSwiss full-fat hard cheese,, from pasteurized milkGrated",unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
43,1.25,M-BudgetLow-fat quark,unknown,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
44,0.90,M-BudgetYogurtPlain,unknown,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
45,2.80,  OriginalCream cheesePlain,Philadelphia,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
46,0.65,M-ClassicQuarkRaspberry,unknown,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
47,1.95,  IP-SUISSEWhole milkHOCH PAST - ,Heidi,3.8% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
48,0.65,M-ClassicQuarkStrawberry,unknown,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
49,4.10,M-BudgetCottage cheese,unknown,750g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
50,Regional Price,Sour cream with herbsHerbs,Valflora,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
51,3.–,  LuzernerLucerne Cream cheese,Emmi,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
52,2.80,Aha!Half-creamLactose-free,unknown,250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
53,2.70,AOPEmmentaler & Le Gruyère Swiss hard cheeseGrated,unknown,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
54,5.50,Salad dressingFrench,Mini Salatsossä,500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
55,3.30,  IP-SUISSEHalf creamUHT - ,Valflora,25% Fat3 x 125ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
56,0.75,YogurtNature,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
57,1.60,"  ClassicSwiss hard cheese, full-fat, made from raw milkMild",Emmentaler,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
58,0.65,M-ClassicYogurtVanilla,unknown,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
59,3.20,M-BudgetEgg spaetzle,unknown,800g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
60,0.90,M-ClassicLow-fat quark,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
61,1.90,M-BudgetMozzarellaBall,unknown,2 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
62,4.55,Premium butterDish,Floralp,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
63,7.70,Swiss eggs ,Migros Bio,53g+Free-range12 Stück,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
64,Regional Price,French spreadable cheese made from cream cheese and grissiniNature - 8 bowls,Kiri,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
65,3.55,MozzarellaMini,Galbani,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
66,0.65,M-ClassicQuarkApricots,unknown,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
67,1.90,"  AOPSwiss hard cheese, full-fat, made from raw milkMild",Le Gruyère,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
68,2.25,Mozzarella,Migros Bio,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
69,2.25,M-BudgetTortelloniSpinach and ricotta,unknown,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
70,1.10,Greek style cream yogurtClassic,Yogos,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
