,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,3,1.95,Whole milkPAST,Migros Bio,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
1,8,1.95,Semi-skimmed milkPAST - 2.5% Milk fat,Migros Bio,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
2,9,2.10,Aha!Lactose free semi-skimmed milkUHT - 1.5% Milk fat,unknown,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
3,17,1.55,  IP-SUISSEHalf creamUHT - 25% Fat,Valflora,0.25,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
4,26,2.05,  IP-SUISSEWhole creamUHT - 35% Fat,Valflora,0.25,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
5,30,2.10,Oat-based drinkUnsweetened,Alnatura,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
6,31,2.70,  IP-SUISSEHalf creamUHT - 25% Fat,Valflora,0.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
7,33,1.95,Semi-skimmed milkUHT - 2.5% Milk fat,Migros Bio,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
8,34,1.95,Whole milkUHT - 3.5% Milk fat,Migros Bio,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
9,35,3.50,Whole creamUHT - 35% Fat,Valflora,0.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
10,39,1.95,  IP-SUISSESemi-skimmed milkHOCH PAST - 2.5% Milk fat,Heidi,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
11,47,1.95,  IP-SUISSEWhole milkHOCH PAST - 3.8% Milk fat,Heidi,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
12,52,2.80,Aha!Half-creamLactose-free,unknown,0.25,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
13,54,5.50,Salad dressingFrench,Mini Salatsossä,0.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
14,80,3.45,!Oat drinkBarista,Oatly,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
15,88,3.15,M-ClassicChoco Drink,unknown,1.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
16,96,2.05,Coffee cream,Valflora,0.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
17,97,1.60,Sour single cream18% Milk fat,Valflora,0.2,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
18,98,1.40,  IP-SUISSESemi-skimmed milkHOCH PAST - 2.5% Fat,Valflora,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
19,107,1.60,  IP-SUISSESemi-skimmed milkUHT - 2.5% Fat,Valflora,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
20,109,1.65,M-ClassicSkimmed milkUHT - 0.1% Milk fat,unknown,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
21,117,1.–,  IP-SUISSESemi-skimmed milkUHT - 2.5% Fat,Valflora,0.5,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
22,129,2.10,Sauce single cream25% Milk fat,Valflora,0.2,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
23,143,1.40,  IP-SUISSEWhole milkHOCH PAST - 3.5% Fat,Valflora,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
24,146,3.95,Whipped creamWith no added sugar,Valflora,0.25,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
25,147,3.05,Aha!Whole creamLactose-free,unknown,0.25,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
26,148,6.95,  GazpachoMediterranean soup fresh vegetablesOriginal,Alvalle,1.0,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-24
