,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2.20,M-ClassicWiener,unknown,200g,Fish and Meat,Migros,2023-05-24
1,2.50,M-BudgetBacon rolls,unknown,200g,Fish and Meat,Migros,2023-05-24
2,1.95,M-ClassicCervelas,unknown,200g,Fish and Meat,Migros,2023-05-24
3,1.45,M-BudgetChicken escalope,unknown,100 g,Fish and Meat,Migros,2023-05-24
4,3.20,IP-SUISSEBacon cubes,unknown,2 x 60g,Fish and Meat,Migros,2023-05-24
5,2.60,Minced beef,Migros Bio,100 g,Fish and Meat,Migros,2023-05-24
6,3.50,"Turkey product, cooked and smoked",Minipic,5x18g5 x 18g,Fish and Meat,Migros,2023-05-24
7,2.95,Turkey breastWafer-thin,Don Pollo,150g,Fish and Meat,Migros,2023-05-24
8,4.95,M-BudgetAtlantic salmon for canapeSmoked and pre-sliced - ASC,unknown,200g,Fish and Meat,Migros,2023-05-24
9,3.95,IP-SUISSEHam,unknown,1 piece,Fish and Meat,Migros,2023-05-24
10,2.–,M-BudgetBacon,unknown,100 g,Fish and Meat,Migros,2023-05-24
11,Regional Price,IP-SUISSEMeatloafDelicacy - Wafer-thin,unknown,NA,Fish and Meat,Migros,2023-05-24
12,5.80,M-BudgetDried meat,unknown,100g,Fish and Meat,Migros,2023-05-24
13,3.75,Chicken skewersOriental,Optigal,100 g,Fish and Meat,Migros,2023-05-24
14,2.40,M-BudgetLyon cold cuts,unknown,200g,Fish and Meat,Migros,2023-05-24
15,2.80,IP-SUISSEBacon,unknown,100 g,Fish and Meat,Migros,2023-05-24
16,3.95,IP-SUISSEToast pad,unknown,150g,Fish and Meat,Migros,2023-05-24
17,2.65,M-Budget  CottoFront ham,unknown,200g,Fish and Meat,Migros,2023-05-24
18,5.20,IP-SUISSEBeef Balls,unknown,200g,Fish and Meat,Migros,2023-05-24
19,6.60,Salmon smoked,Migros Bio,100g,Fish and Meat,Migros,2023-05-24
20,3.95,M-BudgetCervelas,unknown,500g,Fish and Meat,Migros,2023-05-24
21,Regional Price,Farmer's ham,Malbuner,NA,Fish and Meat,Migros,2023-05-24
22,1.20,M-BudgetMeatloaf,unknown,100 g,Fish and Meat,Migros,2023-05-24
23,1.20,M-BudgetMinced meatMixed,unknown,100 g,Fish and Meat,Migros,2023-05-24
24,3.95,St-Galler Olma BratwurstSausage to roast,Spécialité Suisse,2 x 160g,Fish and Meat,Migros,2023-05-24
25,3.95,IP-SUISSEVeal Cipollata,unknown,200g,Fish and Meat,Migros,2023-05-24
26,Regional Price,M-ClassicChicken mini fillets,unknown,NA,Fish and Meat,Migros,2023-05-24
27,3.50,IP-SUISSESlices of ham from the front,unknown,130g,Fish and Meat,Migros,2023-05-24
28,Regional Price,M-Classic  ASCSalmon fillets without skin,unknown,NA,Fish and Meat,Migros,2023-05-24
29,2.40,M-ClassicChicken escalope,unknown,100 g,Fish and Meat,Migros,2023-05-24
30,3.60,M-BudgetHam,unknown,200g,Fish and Meat,Migros,2023-05-24
31,3.70,Salami,Citterio,70g,Fish and Meat,Migros,2023-05-24
32,4.40,M-BudgetRaw ham,unknown,130g,Fish and Meat,Migros,2023-05-24
33,2.55,M-BudgetSalami,unknown,200g,Fish and Meat,Migros,2023-05-24
34,3.95,IP-SUISSEHamThin,unknown,1 piece,Fish and Meat,Migros,2023-05-24
35,4.10,Bacon cubesSmoked,Migros Bio,120g,Fish and Meat,Migros,2023-05-24
36,3.55,HamPuccini,Rapelli,100 g,Fish and Meat,Migros,2023-05-24
