,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,3.60,Farmer's Best  IP-SUISSECream spinachSeasoned,unknown,800g,Frozen Food,Migros,2023-05-24
1,2.–,"M-Budget  MSCFish fingersBreaded, prefried",unknown,450g,Frozen Food,Migros,2023-05-24
2,3.30,Farmer's Best  IP-SUISSEBeans fine,unknown,750g,Frozen Food,Migros,2023-05-24
3,8.–,M-BudgetBreaded Chicken Nuggets,unknown,750g,Frozen Food,Migros,2023-05-24
4,5.95,M-ClassicCheese cookies,unknown,480g,Frozen Food,Migros,2023-05-24
5,1.65,M-BudgetCreamed spinach,unknown,800g,Frozen Food,Migros,2023-05-24
6,4.60,M-Classic  DeliciousFrench fries Hazelnuts,unknown,600g,Frozen Food,Migros,2023-05-24
7,5.–,M-BudgetRaspberriesUnsweetened,unknown,500g,Frozen Food,Migros,2023-05-24
8,4.60,M-Classic  DeliciousPommes duchesse,unknown,600g,Frozen Food,Migros,2023-05-24
9,3.30,M-Classic  DeliciousFrench fries rissolées,unknown,600g,Frozen Food,Migros,2023-05-24
10,8.20,M-BudgetFrench fries,unknown,2.5kg,Frozen Food,Migros,2023-05-24
11,4.95,M-Classic  DeliciousRösti croquettes,unknown,600g,Frozen Food,Migros,2023-05-24
12,3.40,M-BudgetBroccoli,unknown,750g,Frozen Food,Migros,2023-05-24
13,3.35,Crème d'orIce creamCaramel,unknown,1 piece,Frozen Food,Migros,2023-05-24
14,2.20,M-ClassicIce creamAmarena,unknown,150 ml,Frozen Food,Migros,2023-05-24
15,4.60,Farmer's Best  IP-SUISSEBroccoli,unknown,750g,Frozen Food,Migros,2023-05-24
16,2.20,M-ClassicIce creamVacherin,unknown,150 ml,Frozen Food,Migros,2023-05-24
17,2.20,M-ClassicIce creamCoffee,unknown,165 ml,Frozen Food,Migros,2023-05-24
18,9.80,"M-BudgetCrispy chickenBreaded, prefried",unknown,1kg,Frozen Food,Migros,2023-05-24
19,5.95,M-BudgetAtlantic salmon,unknown,250g,Frozen Food,Migros,2023-05-24
20,3.50,M-BudgetMini PizzasMargherita,unknown,12 x 30g,Frozen Food,Migros,2023-05-24
21,3.35,Crème d'orIce creamEspresso Doppio,unknown,170 ml,Frozen Food,Migros,2023-05-24
22,2.20,M-ClassicIce creamCappuccino,unknown,165 ml,Frozen Food,Migros,2023-05-24
23,2.20,M-ClassicIce creamJaponais,unknown,165 ml,Frozen Food,Migros,2023-05-24
24,2.60,M-ClassicOven Fries,unknown,500g,Frozen Food,Migros,2023-05-24
25,2.50,Farmer's Best  IP-SUISSECauliflower florets,unknown,500g,Frozen Food,Migros,2023-05-24
26,3.95,Farmer's Best  ClassicsGarden peas,unknown,750g,Frozen Food,Migros,2023-05-24
27,5.95,M-ClassicSpinach Cookies,unknown,480g,Frozen Food,Migros,2023-05-24
28,3.80,Farmer's Best  IP-SUISSELeaf spinachUnseasoned,unknown,800g,Frozen Food,Migros,2023-05-24
29,4.95,Enjoy TrillIce cream veganBerry Blast,unknown,3 x 100 ml,Frozen Food,Migros,2023-05-24
30,3.50,  MSCFish fingers Alaska pollackBreaded - ,Pelican,15 pieces450g,Frozen Food,Migros,2023-05-24
31,2.95,Farmer's Best  IP-SUISSEBeans extra fineUnseasoned,unknown,360g,Frozen Food,Migros,2023-05-24
32,3.20,M-BudgetVegetables mix,unknown,800g,Frozen Food,Migros,2023-05-24
33,7.30,Cream ice creamVanilla,unknown,12 x 57ml,Frozen Food,Migros,2023-05-24
34,5.95,M-ClassicMushroom cookie,unknown,480g,Frozen Food,Migros,2023-05-24
35,4.90,M-BudgetCroquettes,unknown,1kg,Frozen Food,Migros,2023-05-24
36,7.30,Cream ice creamChocolate,unknown,12 x 57ml,Frozen Food,Migros,2023-05-24
37,6.95,M-ClassicOven Fries,unknown,1.5kg,Frozen Food,Migros,2023-05-24
38,13.95,  ASCShrimpsPeeled and raw,Pelican,500g,Frozen Food,Migros,2023-05-24
39,8.50,  ASCAtlantic salmon fillets,Pelican,250g,Frozen Food,Migros,2023-05-24
40,2.55,M-BudgetPeas,unknown,800g,Frozen Food,Migros,2023-05-24
41,3.50,M-BudgetMini PizzasHam,unknown,12 x 30g,Frozen Food,Migros,2023-05-24
42,3.50,M-ClassicFun fries,unknown,750g,Frozen Food,Migros,2023-05-24
43,5.95,Water iceWith strawberry and melon aroma,Cowboy,12 x 48ml,Frozen Food,Migros,2023-05-24
44,6.40,M-ClassicFrench fries,unknown,1.5kg,Frozen Food,Migros,2023-05-24
45,7.30,M-Budget  ASCPangasius crunchies,unknown,750g,Frozen Food,Migros,2023-05-24
46,4.95,RaspberriesUnsweetened,Alnatura,300g,Frozen Food,Migros,2023-05-24
47,5.20,M-BudgetMix of berriesUnsweetened,unknown,750g,Frozen Food,Migros,2023-05-24
48,3.85,M-BudgetChäs-Chüechli,unknown,560g,Frozen Food,Migros,2023-05-24
49,10.45,Don PolloChicken Délice breaded,unknown,750g,Frozen Food,Migros,2023-05-24
50,3.30,Migros BioSwiss green peas,unknown,500g,Frozen Food,Migros,2023-05-24
51,5.–,M-BudgetPotato slicesWedges,unknown,1kg,Frozen Food,Migros,2023-05-24
52,2.50,Buttered vegetablesWith fine parsley,Alnatura,300g,Frozen Food,Migros,2023-05-24
53,7.30,Cream ice creamStrawberry,unknown,12 x 57ml,Frozen Food,Migros,2023-05-24
