,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,3.60,Farmer's Best  IP-SUISSECream spinachSeasoned,unknown,800.0,Frozen Food,Migros,2023-05-24
1,1,2.–,"M-Budget  MSCFish fingersBreaded, prefried",unknown,450.0,Frozen Food,Migros,2023-05-24
2,2,3.30,Farmer's Best  IP-SUISSEBeans fine,unknown,750.0,Frozen Food,Migros,2023-05-24
3,3,8.–,M-BudgetBreaded Chicken Nuggets,unknown,750.0,Frozen Food,Migros,2023-05-24
4,4,5.95,M-ClassicCheese cookies,unknown,480.0,Frozen Food,Migros,2023-05-24
5,5,1.65,M-BudgetCreamed spinach,unknown,800.0,Frozen Food,Migros,2023-05-24
6,6,4.60,M-Classic  DeliciousFrench fries Hazelnuts,unknown,600.0,Frozen Food,Migros,2023-05-24
7,7,5.–,M-BudgetRaspberriesUnsweetened,unknown,500.0,Frozen Food,Migros,2023-05-24
8,8,4.60,M-Classic  DeliciousPommes duchesse,unknown,600.0,Frozen Food,Migros,2023-05-24
9,9,3.30,M-Classic  DeliciousFrench fries rissolées,unknown,600.0,Frozen Food,Migros,2023-05-24
10,10,8.20,M-BudgetFrench fries,unknown,2500.0,Frozen Food,Migros,2023-05-24
11,11,4.95,M-Classic  DeliciousRösti croquettes,unknown,600.0,Frozen Food,Migros,2023-05-24
12,12,3.40,M-BudgetBroccoli,unknown,750.0,Frozen Food,Migros,2023-05-24
13,15,4.60,Farmer's Best  IP-SUISSEBroccoli,unknown,750.0,Frozen Food,Migros,2023-05-24
14,18,9.80,"M-BudgetCrispy chickenBreaded, prefried",unknown,1000.0,Frozen Food,Migros,2023-05-24
15,19,5.95,M-BudgetAtlantic salmon,unknown,250.0,Frozen Food,Migros,2023-05-24
16,20,3.50,M-BudgetMini PizzasMargherita,unknown,360.0,Frozen Food,Migros,2023-05-24
17,24,2.60,M-ClassicOven Fries,unknown,500.0,Frozen Food,Migros,2023-05-24
18,25,2.50,Farmer's Best  IP-SUISSECauliflower florets,unknown,500.0,Frozen Food,Migros,2023-05-24
19,26,3.95,Farmer's Best  ClassicsGarden peas,unknown,750.0,Frozen Food,Migros,2023-05-24
20,27,5.95,M-ClassicSpinach Cookies,unknown,480.0,Frozen Food,Migros,2023-05-24
21,28,3.80,Farmer's Best  IP-SUISSELeaf spinachUnseasoned,unknown,800.0,Frozen Food,Migros,2023-05-24
22,30,3.50,  MSCFish fingers Alaska pollackBreaded - ,Pelican,450.0,Frozen Food,Migros,2023-05-24
23,31,2.95,Farmer's Best  IP-SUISSEBeans extra fineUnseasoned,unknown,360.0,Frozen Food,Migros,2023-05-24
24,32,3.20,M-BudgetVegetables mix,unknown,800.0,Frozen Food,Migros,2023-05-24
25,34,5.95,M-ClassicMushroom cookie,unknown,480.0,Frozen Food,Migros,2023-05-24
26,35,4.90,M-BudgetCroquettes,unknown,1000.0,Frozen Food,Migros,2023-05-24
27,37,6.95,M-ClassicOven Fries,unknown,1500.0,Frozen Food,Migros,2023-05-24
28,38,13.95,  ASCShrimpsPeeled and raw,Pelican,500.0,Frozen Food,Migros,2023-05-24
29,39,8.50,  ASCAtlantic salmon fillets,Pelican,250.0,Frozen Food,Migros,2023-05-24
30,40,2.55,M-BudgetPeas,unknown,800.0,Frozen Food,Migros,2023-05-24
31,41,3.50,M-BudgetMini PizzasHam,unknown,360.0,Frozen Food,Migros,2023-05-24
32,42,3.50,M-ClassicFun fries,unknown,750.0,Frozen Food,Migros,2023-05-24
33,44,6.40,M-ClassicFrench fries,unknown,1500.0,Frozen Food,Migros,2023-05-24
34,45,7.30,M-Budget  ASCPangasius crunchies,unknown,750.0,Frozen Food,Migros,2023-05-24
35,46,4.95,RaspberriesUnsweetened,Alnatura,300.0,Frozen Food,Migros,2023-05-24
36,47,5.20,M-BudgetMix of berriesUnsweetened,unknown,750.0,Frozen Food,Migros,2023-05-24
37,48,3.85,M-BudgetChäs-Chüechli,unknown,560.0,Frozen Food,Migros,2023-05-24
38,49,10.45,Don PolloChicken Délice breaded,unknown,750.0,Frozen Food,Migros,2023-05-24
39,50,3.30,Migros BioSwiss green peas,unknown,500.0,Frozen Food,Migros,2023-05-24
40,51,5.–,M-BudgetPotato slicesWedges,unknown,1000.0,Frozen Food,Migros,2023-05-24
41,52,2.50,Buttered vegetablesWith fine parsley,Alnatura,300.0,Frozen Food,Migros,2023-05-24
42,55,5.20,Wild blueberriesUnsweetened,Alnatura,300.0,Frozen Food,Migros,2023-05-24
43,56,9.20,M-BudgetBeef Burger,unknown,900.0,Frozen Food,Migros,2023-05-24
44,57,7.95,  MSCFish fingers Atlantic codBreaded - ,Pelican,720.0,Frozen Food,Migros,2023-05-24
45,59,11.20,  BioSalmon fillets,Pelican,250.0,Frozen Food,Migros,2023-05-24
46,60,2.–,M-BudgetCannelloniWith cream cheese and spinach,unknown,400.0,Frozen Food,Migros,2023-05-24
47,61,4.50,Migros BioSwiss vegetable mix,unknown,500.0,Frozen Food,Migros,2023-05-24
48,62,3.20,M-Budget  AsiaVegetables mixSeasoned,unknown,800.0,Frozen Food,Migros,2023-05-24
49,64,3.50,M-ClassicStrawberriesUnsweetened,unknown,500.0,Frozen Food,Migros,2023-05-24
50,65,5.95,Migros BioRaspberries,unknown,300.0,Frozen Food,Migros,2023-05-24
51,66,4.80,M-BudgetHam croissant,unknown,420.0,Frozen Food,Migros,2023-05-24
52,67,7.50,M-ClassicChäschüechli,unknown,840.0,Frozen Food,Migros,2023-05-24
53,68,3.95,MangoUnsweetened,Alnatura,300.0,Frozen Food,Migros,2023-05-24
54,69,3.75,BioBroccoli,unknown,500.0,Frozen Food,Migros,2023-05-24
55,70,5.20,Farmer's Best  IP-SUISSESwiss vegetable mixUnseasoned,unknown,750.0,Frozen Food,Migros,2023-05-24
56,71,5.95,Migros BioMixed berries,unknown,300.0,Frozen Food,Migros,2023-05-24
57,72,9.95,"M-Budget  ASCShrimpsRaw, with notched shell",unknown,450.0,Frozen Food,Migros,2023-05-24
58,73,12.95,M-ClassicM-Classic Köttbullar ,unknown,750.0,Frozen Food,Migros,2023-05-24
59,74,12.40,Don PolloBreaded Chicken Nuggets,unknown,750.0,Frozen Food,Migros,2023-05-24
60,75,12.50,M-ClassicBeef burger,unknown,720.0,Frozen Food,Migros,2023-05-24
61,76,3.10,Migros BioSwiss beans,unknown,500.0,Frozen Food,Migros,2023-05-24
62,77,3.95,M-Classic  DeliciousOven croquettes,unknown,600.0,Frozen Food,Migros,2023-05-24
63,78,9.70,Don PolloChicken Crispy breaded,unknown,700.0,Frozen Food,Migros,2023-05-24
64,79,11.95,Don PolloChicken nuggetsPasty,unknown,750.0,Frozen Food,Migros,2023-05-24
65,80,5.95,M-ClassicTomato and mozzarella biscuits,unknown,460.0,Frozen Food,Migros,2023-05-24
66,82,2.80,M-ClassicIce stracciatellaWith biscuits,unknown,324.0,Frozen Food,Migros,2023-05-24
67,83,3.95,Vegetable sticks,Alnatura,300.0,Frozen Food,Migros,2023-05-24
68,84,2.50,M-BudgetLasagneÀ la Bolognese,unknown,500.0,Frozen Food,Migros,2023-05-24
69,85,3.40,Migros BioSwiss leaf spinach,unknown,500.0,Frozen Food,Migros,2023-05-24
70,86,4.95,Farmer's BestEdamame,unknown,500.0,Frozen Food,Migros,2023-05-24
71,87,2.50,French beansFrom German organic cultivation,Alnatura,450.0,Frozen Food,Migros,2023-05-24
72,88,6.95,Cape hake back fillets,Pelican,400.0,Frozen Food,Migros,2023-05-24
73,89,3.50,Farmer's Best  IP-SUISSEPumpkin,unknown,500.0,Frozen Food,Migros,2023-05-24
74,90,4.50,StrawberriesUnsweetened,Alnatura,300.0,Frozen Food,Migros,2023-05-24
75,91,2.70,M-ClassicPizzaMargherita,unknown,275.0,Frozen Food,Migros,2023-05-24
76,94,9.50,M-Budget  ASCPangasius fillets,unknown,900.0,Frozen Food,Migros,2023-05-24
77,95,7.95,M-ClassicButter croissants,unknown,660.0,Frozen Food,Migros,2023-05-24
78,96,3.50,French friesWith potatoes from German organic cultivation,Alnatura,600.0,Frozen Food,Migros,2023-05-24
79,97,11.20,M-BudgetChicken délicePrefried,unknown,1000.0,Frozen Food,Migros,2023-05-24
80,98,5.65,M-Budget  MSCPrawns CocktailCooked & peeled,unknown,400.0,Frozen Food,Migros,2023-05-24
81,99,5.40,M-ClassicHalf apricotsUnsweetened,unknown,750.0,Frozen Food,Migros,2023-05-24
82,101,6.50,J.Bank'sSpring rolls:With vegetables and sweet &sour sauce - ,unknown,370.0,Frozen Food,Migros,2023-05-24
83,103,4.50,"M-ClassicCherries, pittedUnsweetened",unknown,450.0,Frozen Food,Migros,2023-05-24
84,104,4.80,"Don PolloChicken Curry Bols breaded, prefried",unknown,250.0,Frozen Food,Migros,2023-05-24
85,105,5.95,M-ClassicBolognese pastry,unknown,480.0,Frozen Food,Migros,2023-05-24
86,107,3.60,Farmer's BestBrussel sprouts,unknown,750.0,Frozen Food,Migros,2023-05-24
87,108,3.70,M-ClassicBlueberries wild,unknown,300.0,Frozen Food,Migros,2023-05-24
88,109,4.95,  PiccolinisMini PizzasHam-Cheese,Buitoni,270.0,Frozen Food,Migros,2023-05-24
89,110,3.40,"Calamari Roman gutters TypeMade in Spain with calamar from Argentina (Southwest Atlantic, wild caught)",Pelican,250.0,Frozen Food,Migros,2023-05-24
90,111,5.60,Farmer's Best  IP-SUISSE?Mixed vegetablesBrunoise,unknown,750.0,Frozen Food,Migros,2023-05-24
91,112,4.80,  RöstiFrench fries,Denny's,500.0,Frozen Food,Migros,2023-05-24
92,113,3.75,Migros BioSwiss chopped spinach,unknown,500.0,Frozen Food,Migros,2023-05-24
93,114,6.60,M-Classic  Happy HourHam croissant,unknown,504.0,Frozen Food,Migros,2023-05-24
94,115,4.50,Mixed berriesUnsweetened,Alnatura,300.0,Frozen Food,Migros,2023-05-24
95,116,7.–,J.Bank'sSpring rollsWith chicken and vegetables with sweet &sour sauce - ,unknown,370.0,Frozen Food,Migros,2023-05-24
96,118,10.95,Don PolloChicken cordon bleuBreaded,unknown,750.0,Frozen Food,Migros,2023-05-24
97,119,12.95,Momos with beef,Tenz,280.0,Frozen Food,Migros,2023-05-24
98,120,8.95,Migros BioBreaded Chicken Nuggets,unknown,300.0,Frozen Food,Migros,2023-05-24
99,121,4.95,V-LoveNuggetsVeggie - approx. ,unknown,320.0,Frozen Food,Migros,2023-05-24
100,123,3.30,M-ClassicHalf plumsUnsweetened,unknown,750.0,Frozen Food,Migros,2023-05-24
101,126,3.30,Migros BioSwiss creamed spinach,unknown,500.0,Frozen Food,Migros,2023-05-24
102,127,4.50,  MSCFish fingers CodfishBreaded - ,Pelican,300.0,Frozen Food,Migros,2023-05-24
103,128,18.90,M-Classic  Happy HourHam croissant,unknown,1512.0,Frozen Food,Migros,2023-05-24
104,129,4.95,M-BudgetBaguette Margherita,unknown,750.0,Frozen Food,Migros,2023-05-24
105,130,11.50,Migros BioShrimpsPeeled & cooked,unknown,400.0,Frozen Food,Migros,2023-05-24
106,131,4.50,La TrattoriaPizzaWith ham and cheese,unknown,660.0,Frozen Food,Migros,2023-05-24
107,133,4.50,M-ClassicFrench fries allumettesExtra fine,unknown,750.0,Frozen Food,Migros,2023-05-24
108,134,9.95,M-BudgetDiced chickenWith spice brine,unknown,750.0,Frozen Food,Migros,2023-05-24
109,135,3.40,Farmer's Best  IP-SUISSESpinach choppedSeasoned,unknown,800.0,Frozen Food,Migros,2023-05-24
110,136,6.50,J.Bank's  MiniMini spring rollsWith vegetables and sweet &sour sauce - ,unknown,310.0,Frozen Food,Migros,2023-05-24
111,138,4.40,La TrattoriaPizzaWith tomatoes and mozzarella,unknown,660.0,Frozen Food,Migros,2023-05-24
112,139,3.25,M-Classic  Happy HourLight wheat breadFilled with garlic and herb butter,unknown,240.0,Frozen Food,Migros,2023-05-24
113,140,4.95,  MSCWild salmon fillets Pacific,Pelican,250.0,Frozen Food,Migros,2023-05-24
114,141,7.95,Seafood mixCooked,Pelican,500.0,Frozen Food,Migros,2023-05-24
115,142,4.50,  MSCCrispy fried fishBreaded - ,Pelican,400.0,Frozen Food,Migros,2023-05-24
116,143,10.35,M-BudgetChicken wings,unknown,1500.0,Frozen Food,Migros,2023-05-24
117,144,2.95,M-ClassicCheese ramekins,unknown,280.0,Frozen Food,Migros,2023-05-24
118,145,6.25,Farmer's Best  Romanesco?Mixed vegetablesSeasoned,unknown,750.0,Frozen Food,Migros,2023-05-24
119,146,5.95,  ASCPangasius in light lemon breadingBreaded - ,Pelican,300.0,Frozen Food,Migros,2023-05-24
120,147,3.95,Farmer's Best?Creamed leeksSeasoned,unknown,500.0,Frozen Food,Migros,2023-05-24
121,148,5.50,M-ClassicBerry mixture unsweetenedBlackberries wild - Raspberries - Strawberries wild - Blueberries wild - Red currants - Black currants,unknown,450.0,Frozen Food,Migros,2023-05-24
122,150,3.95,Farmer's Best  Favorit?Mixed vegetables,unknown,500.0,Frozen Food,Migros,2023-05-24
123,152,3.30,"M-ClassicFlambé Alsatian styleWith crème fraîche, bacon and onions",unknown,260.0,Frozen Food,Migros,2023-05-24
124,153,1.95,Summer vegetablesFrom German organic cultivation,Alnatura,300.0,Frozen Food,Migros,2023-05-24
125,154,4.95,Migros BioHamburger,unknown,200.0,Frozen Food,Migros,2023-05-24
126,155,9.95,  Mini ZooChicken nuggetsBreaded,Lilibiggs,750.0,Frozen Food,Migros,2023-05-24
127,156,3.95,M-ClassicAsian rice dishWith roasted chicken &vegetables,unknown,750.0,Frozen Food,Migros,2023-05-24
128,158,3.40,M-ClassicFrench fries,unknown,750.0,Frozen Food,Migros,2023-05-24
129,159,4.20,M-Classic  Happy HourBruschetta pomodoriWith tomatoes and mozzarella,unknown,228.0,Frozen Food,Migros,2023-05-24
130,160,4.50,La TrattoriaPizzaWith cooked ham and mushrooms,unknown,660.0,Frozen Food,Migros,2023-05-24
131,161,4.95,  PiccolinisMini PizzasTomato-Mozzarella,Buitoni,270.0,Frozen Food,Migros,2023-05-24
132,162,7.20,M-Classic  DeliciousPotato gratin,unknown,750.0,Frozen Food,Migros,2023-05-24
133,163,4.40,IP-SUISSERhubarb,unknown,600.0,Frozen Food,Migros,2023-05-24
134,164,5.95,  ClassicFrench friesWith crisp breading,Denny's,750.0,Frozen Food,Migros,2023-05-24
135,165,4.95,La Trattoria  MSCPizzaWith tuna and onions,unknown,700.0,Frozen Food,Migros,2023-05-24
136,166,4.95,  IP-SUISSECauliflower rice,You,750.0,Frozen Food,Migros,2023-05-24
137,167,5.50,Farmer's Best  Bretagne?Mixed vegetablesSeasoned,unknown,750.0,Frozen Food,Migros,2023-05-24
138,168,3.70,M-ClassicSpinach ramekins,unknown,280.0,Frozen Food,Migros,2023-05-24
139,169,12.95,Vegetarian Momos,Tenz,280.0,Frozen Food,Migros,2023-05-24
140,171,8.70,Don PolloBreaded Chicken Nuggets,unknown,300.0,Frozen Food,Migros,2023-05-24
141,173,15.95,Shrimps Tail-OnCooked,Pelican,500.0,Frozen Food,Migros,2023-05-24
142,174,3.80,M-ClassicChicken heartsNature,unknown,300.0,Frozen Food,Migros,2023-05-24
143,175,7.40,  Filets Gourmet - MSCAtlantic Cod FilletProvençale,Pelican,400.0,Frozen Food,Migros,2023-05-24
144,176,9.20,M-ClassicDiced chicken,unknown,500.0,Frozen Food,Migros,2023-05-24
145,177,4.95,  CountryOven fries with crisp breadingExtra thick,Denny's,600.0,Frozen Food,Migros,2023-05-24
146,178,13.95,M-BudgetChicken thigh,unknown,2000.0,Frozen Food,Migros,2023-05-24
147,179,2.40,Farmer's BestGarden peas and carrots,unknown,600.0,Frozen Food,Migros,2023-05-24
148,180,8.95,Cod fillet,Pelican,400.0,Frozen Food,Migros,2023-05-24
149,181,7.95,Farmer's Best  Ratatouille?Mixed vegetablesSeasoned,unknown,750.0,Frozen Food,Migros,2023-05-24
150,182,2.95,M-ClassicChicken liverNature,unknown,300.0,Frozen Food,Migros,2023-05-24
151,183,6.95,Farmer's BestButtered vegetablesSeasoned,unknown,750.0,Frozen Food,Migros,2023-05-24
