,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,14,2.20,M-ClassicIce creamAmarena,unknown,0.15,Frozen Food,Migros,2023-05-24
1,16,2.20,M-ClassicIce creamVacherin,unknown,0.15,Frozen Food,Migros,2023-05-24
2,17,2.20,M-ClassicIce creamCoffee,unknown,0.165,Frozen Food,Migros,2023-05-24
3,21,3.35,Crème d'orIce creamEspresso Doppio,unknown,0.17,Frozen Food,Migros,2023-05-24
4,22,2.20,M-ClassicIce creamCappuccino,unknown,0.165,Frozen Food,Migros,2023-05-24
5,23,2.20,M-ClassicIce creamJaponais,unknown,0.165,Frozen Food,Migros,2023-05-24
6,29,4.95,Enjoy TrillIce cream veganBerry Blast,unknown,0.30000000000000004,Frozen Food,Migros,2023-05-24
7,33,7.30,Cream ice creamVanilla,unknown,0.684,Frozen Food,Migros,2023-05-24
8,36,7.30,Cream ice creamChocolate,unknown,0.684,Frozen Food,Migros,2023-05-24
9,43,5.95,Water iceWith strawberry and melon aroma,Cowboy,0.5760000000000001,Frozen Food,Migros,2023-05-24
10,53,7.30,Cream ice creamStrawberry,unknown,0.684,Frozen Food,Migros,2023-05-24
11,54,2.20,M-ClassicIce creamBanana Split,unknown,0.15,Frozen Food,Migros,2023-05-24
12,58,5.40,Iced bars,Snickers,0.30179999999999996,Frozen Food,Migros,2023-05-24
13,81,6.95,Water iceWith sour fireflies,Trolli,0.536,Frozen Food,Migros,2023-05-24
14,92,5.50,  Fruit IceFruit ice creamMango,You,0.28800000000000003,Frozen Food,Migros,2023-05-24
15,93,5.50,  Fruit IceFruit ice creamRaspberry,You,0.28800000000000003,Frozen Food,Migros,2023-05-24
16,102,10.50,Crème d'orCream ice creamBourbon vanilla,unknown,1.0,Frozen Food,Migros,2023-05-24
17,117,5.95,Cream ice creamGelato stracciatella,Gelato,0.42000000000000004,Frozen Food,Migros,2023-05-24
18,122,5.40,Iced bars,Mars,0.29700000000000004,Frozen Food,Migros,2023-05-24
19,124,6.95,Ice cream pralineCrunchy & creamy,Choquello,0.656,Frozen Food,Migros,2023-05-24
20,125,8.40,Water-MelonWater iceWatermelon,unknown,0.56,Frozen Food,Migros,2023-05-24
21,132,5.95,Ice TeaWater ice ice teaLemon,unknown,0.5760000000000001,Frozen Food,Migros,2023-05-24
22,137,10.60,Waffle CornetStrawberry,Fun,1.16,Frozen Food,Migros,2023-05-24
23,149,7.30,Cream ice creamMocha,unknown,0.684,Frozen Food,Migros,2023-05-24
24,157,1.95,Soft IceIce creamVanilla with chocolate sauce,unknown,0.22,Frozen Food,Migros,2023-05-24
25,170,9.20,Crème d'orWaffle ice creamStracciatella,unknown,0.732,Frozen Food,Migros,2023-05-24
26,172,5.50,Water iceTropical,Rainbow,0.42000000000000004,Frozen Food,Migros,2023-05-24
27,185,6.95,Bubble JoeWater iceWith fruit flavors - Chewing Gum Stick,unknown,0.5,Frozen Food,Migros,2023-05-24
