,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2.95,Bio FairtradeBananasBio,unknown,1 kg,Fruits and Vegetables,Migros,2023-05-24
1,Regional Price,Cucumbers,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
2,Regional Price,PeppersMix,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
3,3.95,Cherry tomatoes,Fresca,500g,Fruits and Vegetables,Migros,2023-05-24
4,1.60,Carrots,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-24
5,Regional Price,Carrots,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
6,Regional Price,Blueberries,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
7,Regional Price,ApplesGala,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
8,Regional Price,Poivrons,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
9,2.45,"  Max HavelaarGrapesCoreless, white",Fresca,500g,Fruits and Vegetables,Migros,2023-05-24
10,1.90,Zucchini,M-Budget,1kg,Fruits and Vegetables,Migros,2023-05-24
11,3.95,Blueberries,Migros Bio,250g,Fruits and Vegetables,Migros,2023-05-24
12,2.10,Avocado,Migros Bio,1 Stück,Fruits and Vegetables,Migros,2023-05-24
13,Regional Price,OnionsSpring,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
14,2.50,TomatoesDates,Fresca,250g,Fruits and Vegetables,Migros,2023-05-24
15,2.–,Kohlrabi,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-24
16,0.50,Lemon,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-24
17,2.40,MushroomsBrown,Fresca,250g,Fruits and Vegetables,Migros,2023-05-24
18,Regional Price,ApplesBraeburn,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
19,Regional Price,Cherry TomatoesMix,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
20,Regional Price,PotatoesWaxy,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
21,3.50,MelonCharentais,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-24
22,0.50,Garlic,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-24
23,Regional Price,Vine tomatoes,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
24,Regional Price,Mango,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
25,Regional Price,PotatoesWaxy,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
26,Regional Price,WatermelonMini,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
27,3.95,Cherry tomatoesAromatico,Fresca,300g,Fruits and Vegetables,Migros,2023-05-24
28,Regional Price,ApplesSeason,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
29,Regional Price,OrangesBlonde,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
30,Regional Price,PotatoesSolid cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
31,Regional Price,PotatoesSolid cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
32,Regional Price,Lemon,Demeter,NA,Fruits and Vegetables,Migros,2023-05-24
33,3.30,KiwiGreen,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-24
34,2.20,Butterhead lettuceRed,Anna's Best,160g,Fruits and Vegetables,Migros,2023-05-24
35,4.70,NectarinesYellow,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-24
36,2.40,MushroomsWhite,Fresca,250g,Fruits and Vegetables,Migros,2023-05-24
37,3.10,MelonGalia,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-24
38,Regional Price,GrapefruitRed,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
39,3.95,Apples,M-Budget,2.5kg,Fruits and Vegetables,Migros,2023-05-24
40,Regional Price,Carrots,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
41,Regional Price,KiwiGreen,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
42,1.70,CarrotsRaffled,Migros Bio,200g,Fruits and Vegetables,Migros,2023-05-24
43,Regional Price,Apricots,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
44,5.50,Salad dressingFrench,Mini Salatsossä,500ml,Fruits and Vegetables,Migros,2023-05-24
45,Regional Price,Tomatoes,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
46,9.50,AsparagusGreen,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-24
47,8.90,GingerOrganic,Migros Bio,1 kg,Fruits and Vegetables,Migros,2023-05-24
48,4.70,Endives,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-24
49,Regional Price,Apples,Jazz,NA,Fruits and Vegetables,Migros,2023-05-24
50,3.10,Carrots,M-Budget,2.5kg,Fruits and Vegetables,Migros,2023-05-24
51,3.60,Lamb's lettuce,Anna's Best,130g,Fruits and Vegetables,Migros,2023-05-24
52,3.95,Lamb's lettuce,Fresca,150g,Fruits and Vegetables,Migros,2023-05-24
53,1.90,PepperoniKapija,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-24
54,Regional Price,Haricots vertsVerts,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
55,2.–,Mushroom,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-24
56,Regional Price,Iceberg lettuce,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
57,Regional Price,Arugula,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
58,3.70,PotatoesFloury Cooking,Fresca,2.5kg,Fruits and Vegetables,Migros,2023-05-24
59,Regional Price,AsparagusThin,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
60,1.80,RadiesliBundle,Fresca,1 Stück,Fruits and Vegetables,Migros,2023-05-24
61,8.95,Cherries,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-24
62,5.95,Mango,Sélection,1 Stück,Fruits and Vegetables,Migros,2023-05-24
63,4.–,Champignon mushroomsBrown,Migros Bio,250g,Fruits and Vegetables,Migros,2023-05-24
64,2.70,Lime,Fresca,500g,Fruits and Vegetables,Migros,2023-05-24
65,3.60,Pomegranate seeds,Anna's Best,125g,Fruits and Vegetables,Migros,2023-05-24
66,5.65,MelonCharentais,Migros Bio,1 Stück,Fruits and Vegetables,Migros,2023-05-24
67,Regional Price,Apricots,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
68,2.40,Lemon,M-Budget,1kg,Fruits and Vegetables,Migros,2023-05-24
69,Regional Price,Cherry TomatoesMix,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
70,3.40,Mixed salad,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-24
71,Regional Price,Butterhead lettuceGreen,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
72,Regional Price,Batavia salad,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
73,1.–,Chives,Fresca,10g,Fruits and Vegetables,Migros,2023-05-24
74,1.80,Avocados,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-24
75,2.95,Onions,M-Budget,2kg,Fruits and Vegetables,Migros,2023-05-24
76,Regional Price,PotatoesFloury cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-24
77,Regional Price,RadishWithout leaves,unknown,NA,Fruits and Vegetables,Migros,2023-05-24
78,3.50,TomatoesMarsanino,Sélection,250g,Fruits and Vegetables,Migros,2023-05-24
79,Regional Price,PotatoesFloury Cooking,Fresca,NA,Fruits and Vegetables,Migros,2023-05-24
80,2.20,Mixed salad,Anna's Best,260g,Fruits and Vegetables,Migros,2023-05-24
