,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,2.95,Bio FairtradeBananasBio,unknown,1000.0,Fruits and Vegetables,Migros,2023-05-24
1,3,3.95,Cherry tomatoes,Fresca,500.0,Fruits and Vegetables,Migros,2023-05-24
2,4,1.60,Carrots,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-24
3,9,2.45,"  Max HavelaarGrapesCoreless, white",Fresca,500.0,Fruits and Vegetables,Migros,2023-05-24
4,10,1.90,Zucchini,M-Budget,1000.0,Fruits and Vegetables,Migros,2023-05-24
5,11,3.95,Blueberries,Migros Bio,250.0,Fruits and Vegetables,Migros,2023-05-24
6,14,2.50,TomatoesDates,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-24
7,17,2.40,MushroomsBrown,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-24
8,27,3.95,Cherry tomatoesAromatico,Fresca,300.0,Fruits and Vegetables,Migros,2023-05-24
9,33,3.30,KiwiGreen,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-24
10,34,2.20,Butterhead lettuceRed,Anna's Best,160.0,Fruits and Vegetables,Migros,2023-05-24
11,35,4.70,NectarinesYellow,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-24
12,36,2.40,MushroomsWhite,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-24
13,39,3.95,Apples,M-Budget,2500.0,Fruits and Vegetables,Migros,2023-05-24
14,42,1.70,CarrotsRaffled,Migros Bio,200.0,Fruits and Vegetables,Migros,2023-05-24
15,46,9.50,AsparagusGreen,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-24
16,47,8.90,GingerOrganic,Migros Bio,1000.0,Fruits and Vegetables,Migros,2023-05-24
17,48,4.70,Endives,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-24
18,50,3.10,Carrots,M-Budget,2500.0,Fruits and Vegetables,Migros,2023-05-24
19,51,3.60,Lamb's lettuce,Anna's Best,130.0,Fruits and Vegetables,Migros,2023-05-24
20,52,3.95,Lamb's lettuce,Fresca,150.0,Fruits and Vegetables,Migros,2023-05-24
