,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,Regional Price,M-Classic  IP-SUISSELight wheat breadToast & Sandwich,unknown,,"Bread, Pastries, & Breakfast",Migros,2023-05-24
1,3.30,  IP-SUISSEXL Toast,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
2,0.35,Fresh baker's yeast ,unknown,42g42g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
3,1.40,M-Classic  IP-SUISSEFine crystal sugar,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-24
4,1.10,M-BudgetLight wheat breadPart baked,unknown,2 x 150g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
5,3.80,  IP-SUISSEXL ToastWith wholewheat flour,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
6,5.25,Hazelnut nougat cream,Nutella,700g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
7,2.80,Toast breadDark,Migros Bio,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
8,1.70,Corn wafers,Lilibiggs,130g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
9,1.55,M-ClassicPuff pastryRolled out and round ,unknown,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
10,1.20,M-Classic  IP-SUISSEToast bread light in slicesToast & Sandwich,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
11,2.10,M-Classic  IP-SUISSEWhite flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-24
12,1.55,M-ClassicCake doughLowered and round,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
13,2.10,IP-SUISSEOriginal spelt toast,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
14,4.60,Pizza doughRolled out and square ,Anna's Best,40x25cm580g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
15,1.–,M-BudgetHousehold flour White flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-24
16,2.95,M-Classic  IP-SUISSECrunchy bread rollsPre-baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
17,6.95,  TresorCrunchy cereal pillow with delicious Choco fillingChoco nut,Kellogg's,620g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
18,0.50,Fresh baker's yeast ,Migros Bio,42g42g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
19,2.20,Buns for hamburgers and sandwichesWith sesame,American Favorites,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
20,2.70,  IP-SUISSEDark breadSliced,Happy Bread,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
21,3.30,M-Classic  IP-SUISSELight wheat breadPart baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
22,2.80,Flambkuchen dough,Anna's Best,2 x 200g,"Bread, Pastries, & Breakfast",Migros,2023-05-24
