,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2.60,M-ClassicCorn grains,unknown,3 x 140g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
1,1.95,M-ClassicMSC Pink TunaIn water,unknown,155g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
2,2.95,French Mayonnaise,Thomy,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
3,1.50,Chopped peeled tomatoes,Longobardi,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
4,0.70,M-BudgetTable vinegar,unknown,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-24
5,2.30,M-ClassicLong grain riceParboiled,unknown,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-24
6,0.95,M-ClassicTomato pureeTriple concentrate,unknown,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
7,1.05,Jura-SelCooking saltContains fluorine and iodine,unknown,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-24
8,1.25,Chopped peeled tomatoes,Migros Bio,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
9,5.40,M-ClassicSunflower oil,unknown,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-24
10,1.25,M-ClassicCorn grains,unknown,285g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
11,1.90,M-ClassicÄlplermagronenWith eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
12,1.75,M-ClassicMacaroniLarge with eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
13,7.–,M-BudgetOlive oilVirgin,unknown,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-24
14,1.40,M-BudgetSpaghetti,unknown,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-24
15,1.50,M-BudgetMayonnaise,unknown,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
16,2.60, KitchenCoconut milk,Thai,250ml,"Pasta, Condiments & Canned Food",Migros,2023-05-24
17,1.90,M-ClassicSpiral-nudelnWith eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
18,5.20,M-ClassicRapeseed oil,unknown,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-24
19,1.90,M-ClassicTieWith eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
20,1.95,M-ClassicMayonnaiseClassic,unknown,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
21,1.20,M-ClassicChickpeasCooked,unknown,250g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
22,1.20,M-BudgetTomato sauceWith basilico,unknown,420g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
23,1.30,Pizza SauceBasil,Longobardi,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
24,1.90,M-ClassicPenneWith eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
25,1.40,M-BudgetMacaroni,unknown,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-24
26,1.75,M-ClassicMacaroniWith eggs,unknown,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
27,1.45,Corn,Alnatura,230g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
28,2.95,  ThomynaiseCalorie-reduced mayonnaiseLight,Thomy,280g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
29,4.55,Soft wheat tortillas,Pancho Villa,326g,"Pasta, Condiments & Canned Food",Migros,2023-05-24
