,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,4,0.70,M-BudgetTable vinegar,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
1,9,5.40,M-ClassicSunflower oil,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
2,13,7.–,M-BudgetOlive oilVirgin,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
3,16,2.60, KitchenCoconut milk,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
4,18,5.20,M-ClassicRapeseed oil,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
5,31,14.95,"  ClassicoOlive oil, extra virgin",Monini,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
6,46,9.50,"Olive oil, extra virginFFA max. 0.5%",Don Pablo,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
7,52,1.20,M-BudgetTomato sauce,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
8,53,8.40,Organic oliveGreek ,Migros Bio,0.013505000000000001,"Pasta, Condiments & Canned Food",Migros,2023-05-24
9,56,1.50,  all' ItalianaTomato sauceNaples,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
10,62,4.30, KitchenCoconut milk,Thai,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
11,71,3.60,IP-SUISSERapeseed oil,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
12,76,2.95,  KressiWine vinegar mildly spicedWith herbs,Chirat,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
13,77,0.95,M-Budget  PassataTomato puree,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
14,83,2.55, KitchenCoconut milkLight,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
15,90,3.95,Served with hollandaise sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
16,98,2.95,  Gute LaunePiri-Piri SauceHot,Dittmann,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
17,99,5.90,Not Just BBQGarlic and chili sauce,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
18,106,3.20,Soy sauceVégétale,Kikkoman,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-24
19,118,2.90, KitchenCoconut milk,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
20,127,2.60,Cider vinegar,Migros Bio,0.57,"Pasta, Condiments & Canned Food",Migros,2023-05-24
21,133,4.80,  ModenaVinegar from grape must,Ponti,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
22,136,3.–,Coconut milk,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-24
23,139,4.50,"Aceto balsamico di ModenaSweet-sour taste, 6% acidity",Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
24,149,1.30,  all' ItalianaTomato sauceBasil and olive oil,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
25,152,3.40,M-ClassicSunflower oilRich in natural vitamin E,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
26,156,5.80,Soy sauceVégétale,Kikkoman,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
27,160,4.50,M-BudgetEdible oil,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
28,171,5.40,M-ClassicSwiss HOLL rapeseed oil,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
29,174,4.50,Condimento Bianco,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
30,180,1.90,  Asian FoodCoconut milk,Chop Stick,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-24
31,204,4.40,M-ClassicVegetable oil preparation,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
32,212,2.20,M-BudgetSalad dressing,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
33,216,8.50,Extra virgin olive oilOrganic,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
34,217,5.80,  Asian FoodSesame oil,Chop Stick,0.19,"Pasta, Condiments & Canned Food",Migros,2023-05-24
35,218,4.80, KitchenSweet chili sauce,Thai,0.435,"Pasta, Condiments & Canned Food",Migros,2023-05-24
36,222,1.75,"M-ClassicApple vinegar with apple juice concentrate, coloredAcidity: 4.5%",unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
37,242,5.80,Soy sauceWith 43% less salt,Kikkoman,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
38,243,6.90,Curry mango sauce,Callowfit,0.3,"Pasta, Condiments & Canned Food",Migros,2023-05-24
39,245,4.90,Bio garlic and chili sauce,Bandits,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
40,246,4.90, garlic and chili sauce,Bio,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
41,250,6.95,Plant Based SauceOriginal,Chipeño,0.3,"Pasta, Condiments & Canned Food",Migros,2023-05-24
42,251,6.90,Smocky barbecue sauce,Callowfit,0.3,"Pasta, Condiments & Canned Food",Migros,2023-05-24
43,260,2.95,  Gute LauneChimichurri SauceSpicy,Dittmann,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
44,261,3.35,  Simply JapaneseSushi rice marinadeRice vinegar,Saitaku,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-24
45,273,1.55,M-ClassicWhite wine vinegar,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
46,275,5.70,M-ClassicMargarine with 10% butter,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
47,280,5.60,Sesame oilNative,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
48,292,9.85,Soy saucePlant-based,Kikkoman,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
49,294,8.60,"  ClassicoOlive oil, extra virgin",Monini,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
50,301,1.95,  all' ItalianaTomato sauceBolognese,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
51,303,8.50,"Olive oil, extra virginGreek ",Alexis,0.0135075,"Pasta, Condiments & Canned Food",Migros,2023-05-24
52,313,3.95,Mushroom sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
53,317,7.95,Mc Ilheny CoTabascoRed,unknown,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-24
54,321,3.95,Béchamel sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
55,324,5.60,Aceto balsamico di ModenaIndicazione Geografica Protetta,Ponti,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
56,347,5.30,  TeriyakiSauceWith roasted sesame seeds,Kikkoman,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
57,353,7.30,Coconut oil,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-24
58,355,7.30,Coconut oilNeutral,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-24
59,358,9.40,Italian olive oil,Migros Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
60,359,6.–,M-ClassicPeanut oil,unknown,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
61,360,14.95,"  DelicatoOlive oil, extra virginFFA max. ",Monini,0.51,"Pasta, Condiments & Canned Food",Migros,2023-05-24
62,373,5.20,Rapeseed oil,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
63,380,9.40,Olive OilExtra vergine,Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-24
64,387,19.50,"Olive oil, extra virgin",Monini,0.75,"Pasta, Condiments & Canned Food",Migros,2023-05-24
65,389,3.95,Cream sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-24
66,392,6.95, KitchenCoconut milk,Thai,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-24
67,394,2.85,  Asian FoodSweet-sour sauce,Chop Stick,0.27,"Pasta, Condiments & Canned Food",Migros,2023-05-24
