,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,1.50,M-BudgetChocolate cookies,unknown,225g,Snacks & Sweets,Migros,2023-05-24
1,5.70,  OriginalChipsPeppers - Family Pack,Zweifel,280g,Snacks & Sweets,Migros,2023-05-24
2,2.70,M-ClassicSpanish black olivesOrigin,unknown,150g,Snacks & Sweets,Migros,2023-05-24
3,2.25,M-BudgetWave chipsBell pepper,unknown,150g,Snacks & Sweets,Migros,2023-05-24
4,3.95,Spelt biscuitsGruyère AOC,Blévita,228g,Snacks & Sweets,Migros,2023-05-24
5,3.95,Spelt biscuitsThyme - sea salt,Blévita,228g,Snacks & Sweets,Migros,2023-05-24
6,1.25,M-BudgetPetit-Beurre with milk chocolate,unknown,125g,Snacks & Sweets,Migros,2023-05-24
7,1.–,M-Classic  FlipsCorn and peanut snack,unknown,200g,Snacks & Sweets,Migros,2023-05-24
8,3.30,Wafer CutsMilk chocolate with hazelnuts,Knoppers,200g,Snacks & Sweets,Migros,2023-05-24
9,5.70,  OriginalChipsNature - Family Pack,Zweifel,280g,Snacks & Sweets,Migros,2023-05-24
10,3.60,Liège waffles,Lotus,250g,Snacks & Sweets,Migros,2023-05-24
11,3.50,M-BudgetChipsBell pepper,unknown,350g,Snacks & Sweets,Migros,2023-05-24
12,3.60,CashewsUnsalted,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-24
13,3.20,Birnweggli,unknown,225g,Snacks & Sweets,Migros,2023-05-24
14,3.95,  OriginalChipsBell pepper,Zweifel,175g,Snacks & Sweets,Migros,2023-05-24
15,2.95,  BiscoffCaramel biscuitsSpeculoos,Lotus,250g,Snacks & Sweets,Migros,2023-05-24
16,2.55,  RiegelChocolate barsMilk chocolate with milk filling,Kinder,210g,Snacks & Sweets,Migros,2023-05-24
17,3.50,M-BudgetChipsNatural,unknown,350g,Snacks & Sweets,Migros,2023-05-24
18,3.95,  OriginalChipsSalt &Vinegar,Zweifel,175g,Snacks & Sweets,Migros,2023-05-24
19,2.70,Petit-Beurre with milk chocolate,unknown,150g,Snacks & Sweets,Migros,2023-05-24
20,2.95,  MiniApéritifs CrackersBell pepper,Blévita,130g,Snacks & Sweets,Migros,2023-05-24
21,2.95,M-BudgetWalnut kernels,unknown,200g,Snacks & Sweets,Migros,2023-05-24
22,2.95,LU  BarquetteGenoa biscuitWith Strawberry filling,unknown,120g,Snacks & Sweets,Migros,2023-05-24
23,2.70,Pom-BärPotato snackOriginal,unknown,100g,Snacks & Sweets,Migros,2023-05-24
24,3.50,  FairtradeDried Mango,Migros Bio,100g,Snacks & Sweets,Migros,2023-05-24
25,5.60,,Blévita,5-grain biscuitsChocolate &sesame267g,Snacks & Sweets,Migros,2023-05-24
26,2.80,"  FairtradeDatesDried, without stone",Migros Bio,200g,Snacks & Sweets,Migros,2023-05-24
27,3.55,Five-grain biscuitsWith sesame,Blévita,295g,Snacks & Sweets,Migros,2023-05-24
28,3.40,Yeast pastry with nut filling,unknown,220g,Snacks & Sweets,Migros,2023-05-24
29,0.85,"M-BudgetOlivesGreen, pitted",unknown,170g,Snacks & Sweets,Migros,2023-05-24
30,0.95,M-ClassicPopcornSalted,unknown,100g,Snacks & Sweets,Migros,2023-05-24
31,1.40,M-ClassicLinzer-Törtli,unknown,75g,Snacks & Sweets,Migros,2023-05-24
32,2.95,LU  MikadoBiscuits covered with milk chocolate,unknown,75g,Snacks & Sweets,Migros,2023-05-24
33,1.95,M-ClassicPastriesRädli,unknown,210g,Snacks & Sweets,Migros,2023-05-24
34,2.60,Chocolate barsMilk chocolate with Ovaltine,Ovomaltine,100g,Snacks & Sweets,Migros,2023-05-24
35,3.85,Spelt biscuitsOrganic,Blévita,280g,Snacks & Sweets,Migros,2023-05-24
36,2.25,M-ClassicPreparation for popcornSalted,unknown,4 x 100g,Snacks & Sweets,Migros,2023-05-24
37,2.30,  OriginalChipsProvençal,Zweifel,90g,Snacks & Sweets,Migros,2023-05-24
38,2.95,M-ClassicShortbread with apricot filling,unknown,150g,Snacks & Sweets,Migros,2023-05-24
39,3.60,,Blévita,5-grain biscuitsSesame228g,Snacks & Sweets,Migros,2023-05-24
40,0.60,M-BudgetDark chocolate,unknown,100g,Snacks & Sweets,Migros,2023-05-24
41,2.10,  BuenoMilk chocolateMilk and hazelnuts,Kinder,129g,Snacks & Sweets,Migros,2023-05-24
42,1.40,M-Budget  Sky MixPotato starch snackBell pepper,unknown,125g,Snacks & Sweets,Migros,2023-05-24
43,2.–,The hazelnut in caramel with nougat cream and chocolate,Toffifee,125g,Snacks & Sweets,Migros,2023-05-24
44,2.95,Greek OlivesAmphisis,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-24
45,3.50,M-ClassicPreussen dessert,unknown,360g,Snacks & Sweets,Migros,2023-05-24
46,2.65,Corn PuffsUnsalted,Migros Bio,85g,Snacks & Sweets,Migros,2023-05-24
47,1.50,M-BudgetFlûtesWith sea salt,unknown,150g,Snacks & Sweets,Migros,2023-05-24
48,2.95,  GraneoMultigrain snacksOriginal,Zweifel,100g,Snacks & Sweets,Migros,2023-05-24
49,2.20,M-BudgetPuffed rice with milk chocolate coating,unknown,250g,Snacks & Sweets,Migros,2023-05-24
50,3.30,MadeleinesWith chocolate chips,unknown,240g,Snacks & Sweets,Migros,2023-05-24
51,0.85,M-BudgetBlack olives,unknown,170g,Snacks & Sweets,Migros,2023-05-24
52,1.30,Milk chocolate,Kinder,100g,Snacks & Sweets,Migros,2023-05-24
53,3.30,Walnut kernelsUnsalted,Migros Bio,100g,Snacks & Sweets,Migros,2023-05-24
54,2.85,Potato-based snackBell pepper,Jumpy's,100g,Snacks & Sweets,Migros,2023-05-24
55,2.95,  miniSpelt biscuitsWith apple,Blévita,130g,Snacks & Sweets,Migros,2023-05-24
56,3.50,Dried sultanas,Migros Bio,400g,Snacks & Sweets,Migros,2023-05-24
57,3.95,  VayaCrisps snacksSalted peas,Zweifel,80g,Snacks & Sweets,Migros,2023-05-24
