,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,1.50,M-BudgetChocolate cookies,unknown,225.0,Snacks & Sweets,Migros,2023-05-24
1,1,5.70,  OriginalChipsPeppers - Family Pack,Zweifel,280.0,Snacks & Sweets,Migros,2023-05-24
2,2,2.70,M-ClassicSpanish black olivesOrigin,unknown,150.0,Snacks & Sweets,Migros,2023-05-24
3,3,2.25,M-BudgetWave chipsBell pepper,unknown,150.0,Snacks & Sweets,Migros,2023-05-24
4,4,3.95,Spelt biscuitsGruyère AOC,Blévita,228.0,Snacks & Sweets,Migros,2023-05-24
5,5,3.95,Spelt biscuitsThyme - sea salt,Blévita,228.0,Snacks & Sweets,Migros,2023-05-24
6,6,1.25,M-BudgetPetit-Beurre with milk chocolate,unknown,125.0,Snacks & Sweets,Migros,2023-05-24
7,7,1.–,M-Classic  FlipsCorn and peanut snack,unknown,200.0,Snacks & Sweets,Migros,2023-05-24
8,8,3.30,Wafer CutsMilk chocolate with hazelnuts,Knoppers,200.0,Snacks & Sweets,Migros,2023-05-24
9,9,5.70,  OriginalChipsNature - Family Pack,Zweifel,280.0,Snacks & Sweets,Migros,2023-05-24
10,10,3.60,Liège waffles,Lotus,250.0,Snacks & Sweets,Migros,2023-05-24
11,11,3.50,M-BudgetChipsBell pepper,unknown,350.0,Snacks & Sweets,Migros,2023-05-24
12,12,3.60,CashewsUnsalted,Migros Bio,150.0,Snacks & Sweets,Migros,2023-05-24
13,13,3.20,Birnweggli,unknown,225.0,Snacks & Sweets,Migros,2023-05-24
14,14,3.95,  OriginalChipsBell pepper,Zweifel,175.0,Snacks & Sweets,Migros,2023-05-24
15,15,2.95,  BiscoffCaramel biscuitsSpeculoos,Lotus,250.0,Snacks & Sweets,Migros,2023-05-24
16,16,2.55,  RiegelChocolate barsMilk chocolate with milk filling,Kinder,210.0,Snacks & Sweets,Migros,2023-05-24
17,17,3.50,M-BudgetChipsNatural,unknown,350.0,Snacks & Sweets,Migros,2023-05-24
18,18,3.95,  OriginalChipsSalt &Vinegar,Zweifel,175.0,Snacks & Sweets,Migros,2023-05-24
19,19,2.70,Petit-Beurre with milk chocolate,unknown,150.0,Snacks & Sweets,Migros,2023-05-24
20,20,2.95,  MiniApéritifs CrackersBell pepper,Blévita,130.0,Snacks & Sweets,Migros,2023-05-24
21,21,2.95,M-BudgetWalnut kernels,unknown,200.0,Snacks & Sweets,Migros,2023-05-24
22,22,2.95,LU  BarquetteGenoa biscuitWith Strawberry filling,unknown,120.0,Snacks & Sweets,Migros,2023-05-24
23,23,2.70,Pom-BärPotato snackOriginal,unknown,100.0,Snacks & Sweets,Migros,2023-05-24
24,24,3.50,  FairtradeDried Mango,Migros Bio,100.0,Snacks & Sweets,Migros,2023-05-24
25,26,2.80,"  FairtradeDatesDried, without stone",Migros Bio,200.0,Snacks & Sweets,Migros,2023-05-24
26,27,3.55,Five-grain biscuitsWith sesame,Blévita,295.0,Snacks & Sweets,Migros,2023-05-24
27,28,3.40,Yeast pastry with nut filling,unknown,220.0,Snacks & Sweets,Migros,2023-05-24
28,29,0.85,"M-BudgetOlivesGreen, pitted",unknown,170.0,Snacks & Sweets,Migros,2023-05-24
29,30,0.95,M-ClassicPopcornSalted,unknown,100.0,Snacks & Sweets,Migros,2023-05-24
30,31,1.40,M-ClassicLinzer-Törtli,unknown,75.0,Snacks & Sweets,Migros,2023-05-24
31,32,2.95,LU  MikadoBiscuits covered with milk chocolate,unknown,75.0,Snacks & Sweets,Migros,2023-05-24
32,33,1.95,M-ClassicPastriesRädli,unknown,210.0,Snacks & Sweets,Migros,2023-05-24
33,34,2.60,Chocolate barsMilk chocolate with Ovaltine,Ovomaltine,100.0,Snacks & Sweets,Migros,2023-05-24
34,35,3.85,Spelt biscuitsOrganic,Blévita,280.0,Snacks & Sweets,Migros,2023-05-24
35,36,2.25,M-ClassicPreparation for popcornSalted,unknown,400.0,Snacks & Sweets,Migros,2023-05-24
36,37,2.30,  OriginalChipsProvençal,Zweifel,90.0,Snacks & Sweets,Migros,2023-05-24
37,38,2.95,M-ClassicShortbread with apricot filling,unknown,150.0,Snacks & Sweets,Migros,2023-05-24
