,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,2.20,Wiener,M-Classic,200.0,Fish and Meat,Migros,2023-05-19
1,1,2.50,Bacon rolls,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
2,2,1.95,Cervelas,M-Classic,200.0,Fish and Meat,Migros,2023-05-19
3,3,1.45,Chicken escalope,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
4,4,2.60,Minced beef,Migros Bio,100.0,Fish and Meat,Migros,2023-05-19
5,5,4.95,Atlantic salmon for canapeSmoked and pre-sliced - ASC,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
6,6,2.95,Turkey breastWafer-thin,Don Pollo,150.0,Fish and Meat,Migros,2023-05-19
7,7,3.50,"Turkey product, cooked and smoked",Minipic,90.0,Fish and Meat,Migros,2023-05-19
8,8,3.20,IP-SUISSEBacon cubes,unknown,120.0,Fish and Meat,Migros,2023-05-19
9,10,2.–,Bacon,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
10,11,2.40,Lyon cold cuts,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
11,12,5.80,Dried meat,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
12,14,2.65,  CottoFront ham,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
13,15,2.80,IP-SUISSEBacon,unknown,100.0,Fish and Meat,Migros,2023-05-19
14,17,3.95,Cervelas,M-Budget,500.0,Fish and Meat,Migros,2023-05-19
15,18,3.80,IP-SUISSEToast pad,unknown,150.0,Fish and Meat,Migros,2023-05-19
16,20,1.20,Minced meatMixed,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
17,21,1.20,Meatloaf,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
18,23,3.95,IP-SUISSEVeal Cipollata,unknown,200.0,Fish and Meat,Migros,2023-05-19
19,24,3.60,Ham,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
20,25,6.60,Salmon smoked,Migros Bio,100.0,Fish and Meat,Migros,2023-05-19
21,26,3.95,St-Galler Olma BratwurstSausage to roast,Spécialité Suisse,320.0,Fish and Meat,Migros,2023-05-19
22,27,3.70,Salami,Citterio,70.0,Fish and Meat,Migros,2023-05-19
23,29,3.50,IP-SUISSESlices of ham from the front,unknown,130.0,Fish and Meat,Migros,2023-05-19
24,30,4.40,Raw ham,M-Budget,130.0,Fish and Meat,Migros,2023-05-19
25,31,2.55,Salami,M-Budget,200.0,Fish and Meat,Migros,2023-05-19
26,32,3.80,Roast sausage,M-Budget,480.0,Fish and Meat,Migros,2023-05-19
27,33,3.25,WienerHot Dog,M-Budget,400.0,Fish and Meat,Migros,2023-05-19
28,34,2.40,Chicken escalope,M-Classic,100.0,Fish and Meat,Migros,2023-05-19
29,36,3.55,HamPuccini,Rapelli,100.0,Fish and Meat,Migros,2023-05-19
30,37,4.10,Bacon cubesSmoked,Migros Bio,120.0,Fish and Meat,Migros,2023-05-19
31,38,1.60,Diced chicken,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
32,39,3.25,Country smoked hamSmoked,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
33,40,4.10,MostmöckliMostmöckli,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
34,41,2.95,Chicken breastWith roasting rim,Don Pollo,150.0,Fish and Meat,Migros,2023-05-19
35,42,3.50,  Gusto del SolRaw hamSerrano,M-Classic,100.0,Fish and Meat,Migros,2023-05-19
36,43,6.70,SalamiMilano,Citterio,130.0,Fish and Meat,Migros,2023-05-19
37,44,1.60,Minced beef,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
38,45,4.95,Country Hunter,M-Budget,300.0,Fish and Meat,Migros,2023-05-19
39,46,5.90,  AtlanticSmoked salmon Atlantic Ocean,Scotland,100.0,Fish and Meat,Migros,2023-05-19
40,47,7.40,Minced beef,Léger,300.0,Fish and Meat,Migros,2023-05-19
41,48,3.50,TofuPlain,Migros Bio,230.0,Fish and Meat,Migros,2023-05-19
42,49,3.95,Chicken breast,Optigal,100.0,Fish and Meat,Migros,2023-05-19
43,50,5.95,Chicken mini fillets,Migros Bio,100.0,Fish and Meat,Migros,2023-05-19
44,51,4.20,Bratwurst,M-Budget,390.0,Fish and Meat,Migros,2023-05-19
45,52,3.95,Cervelas,Migros Bio,200.0,Fish and Meat,Migros,2023-05-19
46,53,4.95,Farmer's hamMaxi,Tradition,150.0,Fish and Meat,Migros,2023-05-19
47,54,4.95,  IrresistibiliSalami SticksClassic,Citterio,80.0,Fish and Meat,Migros,2023-05-19
48,56,4.95,IP-SUISSEVeal bratwurst,unknown,280.0,Fish and Meat,Migros,2023-05-19
49,57,2.15,  MSCSurimi sticks,M-Budget,230.0,Fish and Meat,Migros,2023-05-19
50,58,2.95,Poultry SausageHot Dog,M-Budget,400.0,Fish and Meat,Migros,2023-05-19
51,59,4.50,Wiener,Migros Bio,200.0,Fish and Meat,Migros,2023-05-19
52,60,1.65,IP-SUISSEM-Classic meat loaf,unknown,100.0,Fish and Meat,Migros,2023-05-19
53,61,2.40,Diced chicken,M-Classic,100.0,Fish and Meat,Migros,2023-05-19
54,62,4.25,Pic-Stick,M-Budget,160.0,Fish and Meat,Migros,2023-05-19
55,63,5.45,Chicken sticks,M-Budget,400.0,Fish and Meat,Migros,2023-05-19
56,65,3.–,Beef salami,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
57,66,3.75,Chicken skewersOriental,Optigal,100.0,Fish and Meat,Migros,2023-05-19
58,67,3.70,Shoulder ham cubes,M-Budget,180.0,Fish and Meat,Migros,2023-05-19
59,68,2.80,Beef cutlets,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
60,69,2.25,Chicken cordon bleuBreaded,Don Pollo,100.0,Fish and Meat,Migros,2023-05-19
61,70,3.95,  IP-SUISSEOven-baked ham,Tradition,120.0,Fish and Meat,Migros,2023-05-19
62,71,2.60,  Gusto del SolChorizo,M-Classic,121.0,Fish and Meat,Migros,2023-05-19
63,72,4.20,TofuSmoked,Migros Bio,230.0,Fish and Meat,Migros,2023-05-19
64,73,4.75,Mini Chicken cordon bleuBreaded,Don Pollo,180.0,Fish and Meat,Migros,2023-05-19
65,74,3.95,NuggetsVegan,Cornatur,225.0,Fish and Meat,Migros,2023-05-19
66,75,2.50,Party SticksClassic,Malbuner,40.0,Fish and Meat,Migros,2023-05-19
67,77,2.10,IP-SUISSEMixed minced meatMixed,unknown,100.0,Fish and Meat,Migros,2023-05-19
68,78,2.85,Mortadella,Fratelli Beretta,100.0,Fish and Meat,Migros,2023-05-19
69,79,5.20,IP-SUISSEBeef Balls,unknown,200.0,Fish and Meat,Migros,2023-05-19
70,80,2.70,IP-SUISSEFront hamMidi,unknown,142.0,Fish and Meat,Migros,2023-05-19
71,82,3.65,Chicken breast medallionIdeal for table grill,Optigal,100.0,Fish and Meat,Migros,2023-05-19
72,83,7.30,  MSCWild salmon smokedSockeye,Alaska,100.0,Fish and Meat,Migros,2023-05-19
73,84,2.95,Chicken breastCurry,Don Pollo,150.0,Fish and Meat,Migros,2023-05-19
74,85,6.25,BioSalmon fillets with skin,unknown,100.0,Fish and Meat,Migros,2023-05-19
75,86,3.30,  ASCShrimpsCooked - ASC,M-Classic,100.0,Fish and Meat,Migros,2023-05-19
76,87,4.50,"  ASCSalmon troutSmoked, sliced",M-Budget,150.0,Fish and Meat,Migros,2023-05-19
77,88,3.95,SalamiExtrafino,Rapelli,100.0,Fish and Meat,Migros,2023-05-19
78,89,3.95,IP-SUISSETurkey breastWafer-thin with a crust,unknown,100.0,Fish and Meat,Migros,2023-05-19
79,90,4.95,SalamettiMilan,Rapelli,140.0,Fish and Meat,Migros,2023-05-19
80,91,6.95,Parma ham,Fratelli Beretta,100.0,Fish and Meat,Migros,2023-05-19
81,93,5.05,  GrillMiPiece of lamb,M-Classic,100.0,Fish and Meat,Migros,2023-05-19
82,94,3.80,  aha!Tofu nature,Migros Bio,250.0,Fish and Meat,Migros,2023-05-19
83,96,3.–,Poultry salami,M-Budget,150.0,Fish and Meat,Migros,2023-05-19
84,97,2.25,Pork kidney pie,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
85,98,2.95,Turkey breastSpicy,Don Pollo,150.0,Fish and Meat,Migros,2023-05-19
86,99,5.70,Chicken escalope,Migros Bio,100.0,Fish and Meat,Migros,2023-05-19
87,100,4.95,SalamettiX,M-Budget,3210.0,Fish and Meat,Migros,2023-05-19
88,101,1.50,Pork cut-ups,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
89,102,4.80,Landjäger smoked,Tradition,200.0,Fish and Meat,Migros,2023-05-19
90,103,5.60,IP-SUISSECipollata with baconLardées,unknown,260.0,Fish and Meat,Migros,2023-05-19
91,104,4.90,Falafel with a chickpea baseVegan,V-Love,180.0,Fish and Meat,Migros,2023-05-19
92,109,3.50,"Sausage dwarfsMini, Poulet",M-Classic,160.0,Fish and Meat,Migros,2023-05-19
93,111,1.25,Pork chop neck,M-Budget,100.0,Fish and Meat,Migros,2023-05-19
94,112,3.30,  QuornCold Cuts PepperoniVegetarian,Cornatur,100.0,Fish and Meat,Migros,2023-05-19
95,113,5.95,Pork cipollata,Tradition,250.0,Fish and Meat,Migros,2023-05-19
