,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,3.60,  IP-SUISSECream spinachSeasoned,Farmer's Best,800g,Frozen Food,Migros,2023-05-18
1,3.30,  IP-SUISSEBeans fine,Farmer's Best,750g,Frozen Food,Migros,2023-05-18
2,2.–,"  MSCFish fingersBreaded, prefried",M-Budget,450g,Frozen Food,Migros,2023-05-18
3,1.65,Creamed spinach,M-Budget,800g,Frozen Food,Migros,2023-05-18
4,5.–,RaspberriesUnsweetened,M-Budget,500g,Frozen Food,Migros,2023-05-18
5,2.20,Ice creamVacherin,M-Classic,150 ml,Frozen Food,Migros,2023-05-18
6,2.20,Ice creamAmarena,M-Classic,150 ml,Frozen Food,Migros,2023-05-18
7,2.20,Ice creamCappuccino,M-Classic,165 ml,Frozen Food,Migros,2023-05-18
8,2.20,Ice creamCoffee,M-Classic,165 ml,Frozen Food,Migros,2023-05-18
9,2.20,Ice creamJaponais,M-Classic,165 ml,Frozen Food,Migros,2023-05-18
10,8.–,Breaded Chicken Nuggets,M-Budget,750g,Frozen Food,Migros,2023-05-18
11,8.20,French fries,M-Budget,2.5kg,Frozen Food,Migros,2023-05-18
12,4.60,  DeliciousPommes duchesse,M-Classic,600g,Frozen Food,Migros,2023-05-18
13,4.60,  DeliciousFrench fries Hazelnuts,M-Classic,600g,Frozen Food,Migros,2023-05-18
14,5.95,Cheese cookies,M-Classic,480g,Frozen Food,Migros,2023-05-18
15,3.30,  DeliciousFrench fries rissolées,M-Classic,600g,Frozen Food,Migros,2023-05-18
16,3.40,Broccoli,M-Budget,750g,Frozen Food,Migros,2023-05-18
17,2.60,Oven Fries,M-Classic,500g,Frozen Food,Migros,2023-05-18
18,3.50,Mini PizzasMargherita,M-Budget,12 x 30g,Frozen Food,Migros,2023-05-18
19,4.95,  DeliciousRösti croquettes,M-Classic,600g,Frozen Food,Migros,2023-05-18
20,4.60,  IP-SUISSEBroccoli,Farmer's Best,750g,Frozen Food,Migros,2023-05-18
21,3.50,  MSCFish fingers Alaska pollackBreaded - ,Pelican,15 pieces450g,Frozen Food,Migros,2023-05-18
22,2.50,  IP-SUISSECauliflower florets,Farmer's Best,500g,Frozen Food,Migros,2023-05-18
23,6.95,Oven Fries,M-Classic,1.5kg,Frozen Food,Migros,2023-05-18
24,4.90,Croquettes,M-Budget,1kg,Frozen Food,Migros,2023-05-18
25,9.80,"Crispy chickenBreaded, prefried",M-Budget,1kg,Frozen Food,Migros,2023-05-18
26,3.80,  IP-SUISSELeaf spinachUnseasoned,Farmer's Best,800g,Frozen Food,Migros,2023-05-18
27,5.95,Raspberries,Migros Bio,300g,Frozen Food,Migros,2023-05-18
28,3.40,Swiss leaf spinach,Migros Bio,500g,Frozen Food,Migros,2023-05-18
29,3.10,Swiss beans,Migros Bio,500g,Frozen Food,Migros,2023-05-18
30,3.20,Vegetables mix,M-Budget,800g,Frozen Food,Migros,2023-05-18
31,5.95,Atlantic salmon,M-Budget,250g,Frozen Food,Migros,2023-05-18
32,4.50,Swiss vegetable mix,Migros Bio,500g,Frozen Food,Migros,2023-05-18
33,2.55,Peas,M-Budget,800g,Frozen Food,Migros,2023-05-18
34,2.20,Ice creamBanana Split,M-Classic,150 ml,Frozen Food,Migros,2023-05-18
