,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,3.60,  IP-SUISSECream spinachSeasoned,Farmer's Best,800.0,Frozen Food,Migros,2023-05-18
1,1,3.30,  IP-SUISSEBeans fine,Farmer's Best,750.0,Frozen Food,Migros,2023-05-18
2,2,2.–,"  MSCFish fingersBreaded, prefried",M-Budget,450.0,Frozen Food,Migros,2023-05-18
3,3,1.65,Creamed spinach,M-Budget,800.0,Frozen Food,Migros,2023-05-18
4,4,5.–,RaspberriesUnsweetened,M-Budget,500.0,Frozen Food,Migros,2023-05-18
5,10,8.–,Breaded Chicken Nuggets,M-Budget,750.0,Frozen Food,Migros,2023-05-18
6,11,8.20,French fries,M-Budget,2500.0,Frozen Food,Migros,2023-05-18
7,12,4.60,  DeliciousPommes duchesse,M-Classic,600.0,Frozen Food,Migros,2023-05-18
8,13,4.60,  DeliciousFrench fries Hazelnuts,M-Classic,600.0,Frozen Food,Migros,2023-05-18
9,14,5.95,Cheese cookies,M-Classic,480.0,Frozen Food,Migros,2023-05-18
10,15,3.30,  DeliciousFrench fries rissolées,M-Classic,600.0,Frozen Food,Migros,2023-05-18
11,16,3.40,Broccoli,M-Budget,750.0,Frozen Food,Migros,2023-05-18
12,17,2.60,Oven Fries,M-Classic,500.0,Frozen Food,Migros,2023-05-18
13,18,3.50,Mini PizzasMargherita,M-Budget,360.0,Frozen Food,Migros,2023-05-18
14,19,4.95,  DeliciousRösti croquettes,M-Classic,600.0,Frozen Food,Migros,2023-05-18
15,20,4.60,  IP-SUISSEBroccoli,Farmer's Best,750.0,Frozen Food,Migros,2023-05-18
16,21,3.50,  MSCFish fingers Alaska pollackBreaded - ,Pelican,450.0,Frozen Food,Migros,2023-05-18
17,22,2.50,  IP-SUISSECauliflower florets,Farmer's Best,500.0,Frozen Food,Migros,2023-05-18
18,23,6.95,Oven Fries,M-Classic,1500.0,Frozen Food,Migros,2023-05-18
19,24,4.90,Croquettes,M-Budget,1000.0,Frozen Food,Migros,2023-05-18
20,25,9.80,"Crispy chickenBreaded, prefried",M-Budget,1000.0,Frozen Food,Migros,2023-05-18
21,26,3.80,  IP-SUISSELeaf spinachUnseasoned,Farmer's Best,800.0,Frozen Food,Migros,2023-05-18
22,27,5.95,Raspberries,Migros Bio,300.0,Frozen Food,Migros,2023-05-18
23,28,3.40,Swiss leaf spinach,Migros Bio,500.0,Frozen Food,Migros,2023-05-18
24,29,3.10,Swiss beans,Migros Bio,500.0,Frozen Food,Migros,2023-05-18
25,30,3.20,Vegetables mix,M-Budget,800.0,Frozen Food,Migros,2023-05-18
26,31,5.95,Atlantic salmon,M-Budget,250.0,Frozen Food,Migros,2023-05-18
27,32,4.50,Swiss vegetable mix,Migros Bio,500.0,Frozen Food,Migros,2023-05-18
28,33,2.55,Peas,M-Budget,800.0,Frozen Food,Migros,2023-05-18
29,35,3.85,Chäs-Chüechli,M-Budget,560.0,Frozen Food,Migros,2023-05-18
30,36,3.95,  ClassicsGarden peas,Farmer's Best,750.0,Frozen Food,Migros,2023-05-18
31,37,5.95,Mixed berries,Migros Bio,300.0,Frozen Food,Migros,2023-05-18
32,38,4.95,"PinsaWith buffalo milk mozzarella, tomatoes and rocket",La Trattoria,395.0,Frozen Food,Migros,2023-05-18
33,39,9.20,Beef Burger,M-Budget,900.0,Frozen Food,Migros,2023-05-18
