,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,5,2.20,Ice creamVacherin,M-Classic,0.15,Frozen Food,Migros,2023-05-18
1,6,2.20,Ice creamAmarena,M-Classic,0.15,Frozen Food,Migros,2023-05-18
2,7,2.20,Ice creamCappuccino,M-Classic,0.165,Frozen Food,Migros,2023-05-18
3,8,2.20,Ice creamCoffee,M-Classic,0.165,Frozen Food,Migros,2023-05-18
4,9,2.20,Ice creamJaponais,M-Classic,0.165,Frozen Food,Migros,2023-05-18
5,34,2.20,Ice creamBanana Split,M-Classic,0.15,Frozen Food,Migros,2023-05-18
6,40,4.95,Ice cream veganBerry Blast,Enjoy Trill,0.30000000000000004,Frozen Food,Migros,2023-05-18
7,52,7.30,Cream ice creamVanilla,unknown,0.684,Frozen Food,Migros,2023-05-18
8,67,7.30,Cream ice creamChocolate,unknown,0.684,Frozen Food,Migros,2023-05-18
9,71,7.30,Cream ice creamStrawberry,unknown,0.684,Frozen Food,Migros,2023-05-18
10,76,5.95,Water iceWith strawberry and melon aroma,Cowboy,0.5760000000000001,Frozen Food,Migros,2023-05-18
11,88,5.40,Iced bars,Snickers,0.30179999999999996,Frozen Food,Migros,2023-05-18
12,90,5.50,  Fruit IceFruit ice creamRaspberry,You,0.28800000000000003,Frozen Food,Migros,2023-05-18
13,95,6.95,Water iceWith sour fireflies,Trolli,0.536,Frozen Food,Migros,2023-05-18
14,96,5.50,  Fruit IceFruit ice creamMango,You,0.28800000000000003,Frozen Food,Migros,2023-05-18
15,128,3.15,Ice creamVanilla Bourbon,M-Budget,2.0,Frozen Food,Migros,2023-05-18
16,136,5.40,Iced bars,Mars,0.29700000000000004,Frozen Food,Migros,2023-05-18
17,146,8.40,Water iceWatermelon,Water-Melon,0.56,Frozen Food,Migros,2023-05-18
18,149,6.95,Ice cream pralineCrunchy & creamy,Choquello,0.656,Frozen Food,Migros,2023-05-18
19,153,5.95,Cream ice creamGelato stracciatella,Gelato,0.42000000000000004,Frozen Food,Migros,2023-05-18
20,157,5.95,Water ice ice teaLemon,Ice Tea,0.5760000000000001,Frozen Food,Migros,2023-05-18
21,160,4.20,Water iceWith pineapple and orange aroma,Delta-Jet,0.424,Frozen Food,Migros,2023-05-18
22,168,10.60,Waffle CornetStrawberry,Fun,1.16,Frozen Food,Migros,2023-05-18
23,180,3.95,  MaxiVanilla Bourbon ice creamWith milk chocolate coating,M-Classic,0.96,Frozen Food,Migros,2023-05-18
24,183,2.95,Ice blockVanilla,M-Classic,0.68,Frozen Food,Migros,2023-05-18
25,186,6.95,Water iceWith fruit flavors - Chewing Gum Stick,Bubble Joe,0.5,Frozen Food,Migros,2023-05-18
26,192,7.30,Cream ice creamMocha,unknown,0.684,Frozen Food,Migros,2023-05-18
27,193,5.50,Water iceTropical,Rainbow,0.42000000000000004,Frozen Food,Migros,2023-05-18
28,199,7.95,Vegetable ice creamStrawberry,V-Love,0.66,Frozen Food,Migros,2023-05-18
29,203,5.50,Plant based ice cream chocolatesVegan,V-Love,0.18,Frozen Food,Migros,2023-05-18
30,208,1.95,Ice creamVanilla with chocolate sauce,Soft Ice,0.22,Frozen Food,Migros,2023-05-18
31,220,3.60,Cream ice creamStracciatella,M-Classic,1.0,Frozen Food,Migros,2023-05-18
32,238,2.95,Ice blockVanilla and strawberry,M-Classic,0.68,Frozen Food,Migros,2023-05-18
33,239,7.50,  MiniIce cream with Oreo biscuit pieces,Oreo,0.30000000000000004,Frozen Food,Migros,2023-05-18
34,240,7.95,  PetitWaffle CornetColoretto,Fun,0.48,Frozen Food,Migros,2023-05-18
35,246,6.50,Ice creamWith Oreo cookie pieces,Oreo,0.33,Frozen Food,Migros,2023-05-18
36,247,9.95,Cream ice creamCookie Dough,Ben & Jerry's,0.465,Frozen Food,Migros,2023-05-18
37,248,8.95,  AlmondVanilla ice creamWith milk chocolate coating and almonds,MegaStar,0.72,Frozen Food,Migros,2023-05-18
38,251,1.95,Ice creamCoffee with coffee sauce,Soft Ice,0.22,Frozen Food,Migros,2023-05-18
39,252,6.95,Ice creamWith fruit juice,Exotic,0.36,Frozen Food,Migros,2023-05-18
40,262,5.95,Water iceLemon and orange flavors,Alaska,0.5760000000000001,Frozen Food,Migros,2023-05-18
41,265,9.95,Cream ice creamVanilla,Migros Bio,1.0,Frozen Food,Migros,2023-05-18
42,268,6.95,Aha!Vanilla ice cream,unknown,0.72,Frozen Food,Migros,2023-05-18
43,273,7.30,Cream ice creamCaramel,unknown,0.684,Frozen Food,Migros,2023-05-18
44,277,6.95,  CaramelCaramel ice creamWith white chocolate coating and biscuits,MegaStar,0.36,Frozen Food,Migros,2023-05-18
45,280,3.60,Cream ice creamChocolate,M-Classic,1.0,Frozen Food,Migros,2023-05-18
46,283,10.60,Waffle CornetChocolate,Fun,1.16,Frozen Food,Migros,2023-05-18
47,285,1.95,Ice creamStrawberry &Vanilla,Soft Ice,0.22,Frozen Food,Migros,2023-05-18
48,288,9.20,  Crunchy IceCream ice cream,Ovomaltine,0.4,Frozen Food,Migros,2023-05-18
49,291,5.95,Cream ice creamVanilla & Chocolate,Gelato,0.42000000000000004,Frozen Food,Migros,2023-05-18
50,292,3.60,Cream ice creamMocha,M-Classic,1.0,Frozen Food,Migros,2023-05-18
51,296,5.50,  SaisonIce cakeRomanoff,Glacetta,0.75,Frozen Food,Migros,2023-05-18
52,297,7.30,Cream ice creamVanilla,unknown,0.51,Frozen Food,Migros,2023-05-18
53,299,4.50,GlacecakeVanilla,Glacetta,0.8,Frozen Food,Migros,2023-05-18
54,300,7.95,  BiscoffMini cream ice cream,Lotus,0.36,Frozen Food,Migros,2023-05-18
55,303,5.20,GlacecakeCappuccino,Glacetta,0.8,Frozen Food,Migros,2023-05-18
56,304,7.95,Aha!Vanilla ice cream,unknown,1.0,Frozen Food,Migros,2023-05-18
57,307,2.20,  SlurpyWater iceWith orange and ziron flavor,M-Classic,0.6000000000000001,Frozen Food,Migros,2023-05-18
58,311,8.95,  CappuccinoGlace CoffeeWith milk chocolate coating,MegaStar,0.72,Frozen Food,Migros,2023-05-18
59,312,3.20,SorbetLemons,Le Sorbet,1.0,Frozen Food,Migros,2023-05-18
60,317,7.20,  Pure Vanille Bourbon ComoresVanilla cream ice cream,Sélection,0.45,Frozen Food,Migros,2023-05-18
61,325,2.95,Waffle CornetVanilla & Strawberry,M-Classic,0.96,Frozen Food,Migros,2023-05-18
62,326,4.95,Waffle Cornet - MiniVanilla,M-Classic,0.336,Frozen Food,Migros,2023-05-18
63,327,2.95,Waffle CornetVanilla,M-Classic,0.96,Frozen Food,Migros,2023-05-18
64,328,2.95,Waffle CornetVanilla & Chocolate,M-Classic,0.96,Frozen Food,Migros,2023-05-18
65,329,3.95,  MaxiVanilla Bourbon ice creamWith milk chocolate coating and almonds,M-Classic,0.96,Frozen Food,Migros,2023-05-18
66,337,2.95,MegaStar Artisan Coffee Cold Brew,MegaStar,0.095,Frozen Food,Migros,2023-05-18
67,338,6.20,GlacesticksWith milk chocolate,Milk'is,0.54,Frozen Food,Migros,2023-05-18
68,343,2.95,SorbetRaspberry,Sélection,0.12,Frozen Food,Migros,2023-05-18
69,348,3.95,Gasparini Cornet Zolli Erbeer,Gasparini,0.145,Frozen Food,Migros,2023-05-18
70,349,3.95,Gasparini Cornet Zolli Himbeer,Gasparini,0.145,Frozen Food,Migros,2023-05-18
71,350,3.60,M-Classic Walnuss,M-Classic,1.0,Frozen Food,Migros,2023-05-18
72,352,2.20,M-Classic Léger Kakao,M-Classic,0.165,Frozen Food,Migros,2023-05-18
73,353,4.30,M-Classic Mini Mix Glace,M-Classic,0.603,Frozen Food,Migros,2023-05-18
74,354,1.95, Amarena,Soft Ice,0.22,Frozen Food,Migros,2023-05-18
75,355,3.50,Fairtrade Ben&Jerry. Cookie Dough,Ben & Jerry's,0.1,Frozen Food,Migros,2023-05-18
76,356,2.20,V-Love Vanilla Chocolate & Cookies,V-Love,0.12,Frozen Food,Migros,2023-05-18
77,357,3.95,Dieci Mango,Dieci,0.12,Frozen Food,Migros,2023-05-18
78,366,2.70,Gasparini Stracciatella,Gasparini,0.08,Frozen Food,Migros,2023-05-18
79,367,4.95,M-Classic Frozen Yo Nature,M-Classic,0.45,Frozen Food,Migros,2023-05-18
80,369,0.95,Ice Tea Lemon Glace,Ice Tea,0.048,Frozen Food,Migros,2023-05-18
