,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,Regional Price,Cucumbers,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
1,2.95,Bio FairtradeBananasBio,unknown,1 kg,Fruits and Vegetables,Migros,2023-05-18
2,Regional Price,Cucumbers,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
3,2.70,PeppersMix,Fresca,500g,Fruits and Vegetables,Migros,2023-05-18
4,1.60,Carrots,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-18
5,Regional Price,Cherry tomatoes,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
6,Regional Price,Carrots,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
7,Regional Price,Poivrons,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
8,Regional Price,ApplesGala,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
9,Regional Price,Blueberries,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
10,1.90,Zucchini,M-Budget,1kg,Fruits and Vegetables,Migros,2023-05-18
11,Regional Price,OnionsSpring,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
12,5.60,Blueberries,Migros Bio,250g,Fruits and Vegetables,Migros,2023-05-18
13,0.50,Lemon,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
14,Regional Price,PotatoesWaxy,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
15,Regional Price,"  Max HavelaarGrapesCoreless, white",Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
16,2.40,MushroomsBrown,Fresca,250g,Fruits and Vegetables,Migros,2023-05-18
17,0.50,Garlic,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
18,2.50,TomatoesDates,Fresca,250g,Fruits and Vegetables,Migros,2023-05-18
19,Regional Price,ApplesBraeburn,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
20,Regional Price,Mango,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
21,Regional Price,PotatoesWaxy,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
22,Regional Price,OrangesBlonde,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
23,Regional Price,Onions,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
24,Regional Price,Vine tomatoes,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
25,Regional Price,PotatoesSolid cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
26,0.80,Lemon,Demeter,1 Stück,Fruits and Vegetables,Migros,2023-05-18
27,Regional Price,Cherry TomatoesMix,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
28,5.70,WatermelonMini,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
29,Regional Price,PotatoesSolid cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
30,Regional Price,ApplesSeason,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
31,2.–,Kohlrabi,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
32,1.90,LettuceGreen,Fresca,1 Stück,Fruits and Vegetables,Migros,2023-05-18
33,Regional Price,GrapefruitRed,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
34,3.30,KiwiGreen,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-18
35,3.95,Apples,M-Budget,2.5kg,Fruits and Vegetables,Migros,2023-05-18
36,2.20,Butterhead lettuceRed,Anna's Best,160g,Fruits and Vegetables,Migros,2023-05-18
37,2.40,MushroomsWhite,Fresca,250g,Fruits and Vegetables,Migros,2023-05-18
38,Regional Price,Carrots,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
39,1.70,CarrotsRaffled,Migros Bio,200g,Fruits and Vegetables,Migros,2023-05-18
40,Regional Price,KiwiGreen,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
41,3.10,Carrots,M-Budget,2.5kg,Fruits and Vegetables,Migros,2023-05-18
42,9.50,AsparagusGreen,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-18
43,2.55,Pineapple,Fresca,1 Stück,Fruits and Vegetables,Migros,2023-05-18
44,2.–,Mushroom,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-18
45,3.95,Lamb's lettuce,Fresca,150g,Fruits and Vegetables,Migros,2023-05-18
46,8.90,GingerOrganic,Migros Bio,1 kg,Fruits and Vegetables,Migros,2023-05-18
47,1.90,PepperoniKapija,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-18
48,5.50,Salad dressingFrench,Mini Salatsossä,500ml,Fruits and Vegetables,Migros,2023-05-18
49,3.70,PotatoesFloury Cooking,Fresca,2.5kg,Fruits and Vegetables,Migros,2023-05-18
50,Regional Price,Apples,Jazz,NA,Fruits and Vegetables,Migros,2023-05-18
51,Regional Price,Tomatoes,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
52,Regional Price,Arugula,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
53,3.10,MelonGalia,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
54,4.70,Endives,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-18
55,3.60,Lamb's lettuce,Anna's Best,130g,Fruits and Vegetables,Migros,2023-05-18
56,Regional Price,PotatoesFloury cooking,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
57,Regional Price,Butterhead lettuceGreen,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
58,Regional Price,Haricots vertsVerts,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
59,1.80,RadiesliBundle,Fresca,1 Stück,Fruits and Vegetables,Migros,2023-05-18
60,Regional Price,Early potatoesFirm,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
61,2.40,Lemon,M-Budget,1kg,Fruits and Vegetables,Migros,2023-05-18
62,Regional Price,Apricots,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
63,Regional Price,Champignon mushroomsBrown,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
64,2.50,Onions,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-18
65,Regional Price,Iceberg lettuce,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
66,Regional Price,PotatoesFloury Cooking,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
67,2.70,Lime,Fresca,500g,Fruits and Vegetables,Migros,2023-05-18
68,Regional Price,OrangesBlondes,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
69,Regional Price,AsparagusThin,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
70,5.95,Mango,Sélection,1 Stück,Fruits and Vegetables,Migros,2023-05-18
71,1.–,Chives,Fresca,10g,Fruits and Vegetables,Migros,2023-05-18
72,1.80,Avocados,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-18
73,Regional Price,Mango,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
74,3.40,Mixed salad,M-Budget,500g,Fruits and Vegetables,Migros,2023-05-18
75,3.60,Pomegranate seeds,Anna's Best,125g,Fruits and Vegetables,Migros,2023-05-18
76,Regional Price,Batavia salad,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
77,Regional Price,Onions,M-Budget,NA,Fruits and Vegetables,Migros,2023-05-18
78,Regional Price,RadishWithout leaves,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
79,2.20,Mixed salad,Anna's Best,260g,Fruits and Vegetables,Migros,2023-05-18
80,Regional Price,Pears,M-Budget,NA,Fruits and Vegetables,Migros,2023-05-18
81,Regional Price,Cherry TomatoesMix,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
82,Regional Price,Papaya,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
83,2.30,Iceberg lettuceOrganic,Migros Bio,150g,Fruits and Vegetables,Migros,2023-05-18
84,2.95,SpinachBaby,Demeter,125g,Fruits and Vegetables,Migros,2023-05-18
85,2.95,KiwiGreen,M-Budget,1kg,Fruits and Vegetables,Migros,2023-05-18
86,1.50,Pomegranate,unknown,1 Stück,Fruits and Vegetables,Migros,2023-05-18
87,3.10,KiwiGreen,Fresca,500g,Fruits and Vegetables,Migros,2023-05-18
88,Regional Price,AvocadoHass,Extra,NA,Fruits and Vegetables,Migros,2023-05-18
89,3.50,TomatoesMarsanino,Sélection,250g,Fruits and Vegetables,Migros,2023-05-18
90,5.65,MelonCharentais,Migros Bio,1 Stück,Fruits and Vegetables,Migros,2023-05-18
91,Regional Price,WatermelonMini,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
92,4.90,BeetrootPasteurized,Migros Bio,1 kg,Fruits and Vegetables,Migros,2023-05-18
93,1.50,ParsleyCurly,Migros Bio,30g,Fruits and Vegetables,Migros,2023-05-18
94,Regional Price,PoivronsMini,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
95,9.95,AsparagusWhite,Fresca,1kg,Fruits and Vegetables,Migros,2023-05-18
96,2.20,Oak leaf lettuceGreen,Fresca,1 Stück,Fruits and Vegetables,Migros,2023-05-18
97,4.60,PotatoesWaxy,M-Budget,5kg,Fruits and Vegetables,Migros,2023-05-18
98,3.50,King salad,Anna's Best,150g,Fruits and Vegetables,Migros,2023-05-18
99,5.95,Apricots,Migros Bio,500g,Fruits and Vegetables,Migros,2023-05-18
100,3.20,PotatoesEarly,Fresca,1.5kg,Fruits and Vegetables,Migros,2023-05-18
101,Regional Price,PearsAbate Fetel,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
102,2.95,Oak leaf saladRed,Migros Bio,1 Stück,Fruits and Vegetables,Migros,2023-05-18
103,Regional Price,Mango,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
104,4.45,Spinach,unknown,500g,Fruits and Vegetables,Migros,2023-05-18
105,Regional Price,MushroomsWhite,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
106,1.10,Garlic,Fresca,250g,Fruits and Vegetables,Migros,2023-05-18
107,2.50,Lime,Migros Bio,250g,Fruits and Vegetables,Migros,2023-05-18
108,2.90,Alice Salad,Anna's Best,250g,Fruits and Vegetables,Migros,2023-05-18
109,3.60,Mixed saladOrganic,Migros Bio,250g,Fruits and Vegetables,Migros,2023-05-18
110,Regional Price,Blueberries,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
111,Regional Price,Sweet cornFresh,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
112,Regional Price,ParsleyFlat,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
113,Regional Price,FigsFreshness,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
114,Regional Price,Radish,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
115,Regional Price,Rhubarb,Fresca,NA,Fruits and Vegetables,Migros,2023-05-18
116,Regional Price,DatesOrganic,Migros Bio,NA,Fruits and Vegetables,Migros,2023-05-18
117,Regional Price,Asparagus tipsGreen,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
118,Regional Price,MelonNetzmelonen,unknown,NA,Fruits and Vegetables,Migros,2023-05-18
