,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,1,2.95,Bio FairtradeBananasBio,unknown,1000.0,Fruits and Vegetables,Migros,2023-05-18
1,3,2.70,PeppersMix,Fresca,500.0,Fruits and Vegetables,Migros,2023-05-18
2,4,1.60,Carrots,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-18
3,10,1.90,Zucchini,M-Budget,1000.0,Fruits and Vegetables,Migros,2023-05-18
4,12,5.60,Blueberries,Migros Bio,250.0,Fruits and Vegetables,Migros,2023-05-18
5,16,2.40,MushroomsBrown,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-18
6,18,2.50,TomatoesDates,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-18
7,34,3.30,KiwiGreen,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-18
8,35,3.95,Apples,M-Budget,2500.0,Fruits and Vegetables,Migros,2023-05-18
9,36,2.20,Butterhead lettuceRed,Anna's Best,160.0,Fruits and Vegetables,Migros,2023-05-18
10,37,2.40,MushroomsWhite,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-18
11,39,1.70,CarrotsRaffled,Migros Bio,200.0,Fruits and Vegetables,Migros,2023-05-18
12,41,3.10,Carrots,M-Budget,2500.0,Fruits and Vegetables,Migros,2023-05-18
13,42,9.50,AsparagusGreen,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-18
14,44,2.–,Mushroom,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
15,45,3.95,Lamb's lettuce,Fresca,150.0,Fruits and Vegetables,Migros,2023-05-18
16,46,8.90,GingerOrganic,Migros Bio,1000.0,Fruits and Vegetables,Migros,2023-05-18
17,47,1.90,PepperoniKapija,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
18,49,3.70,PotatoesFloury Cooking,Fresca,2500.0,Fruits and Vegetables,Migros,2023-05-18
19,54,4.70,Endives,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-18
20,55,3.60,Lamb's lettuce,Anna's Best,130.0,Fruits and Vegetables,Migros,2023-05-18
21,61,2.40,Lemon,M-Budget,1000.0,Fruits and Vegetables,Migros,2023-05-18
22,64,2.50,Onions,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-18
23,67,2.70,Lime,Fresca,500.0,Fruits and Vegetables,Migros,2023-05-18
24,71,1.–,Chives,Fresca,10.0,Fruits and Vegetables,Migros,2023-05-18
25,72,1.80,Avocados,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
26,74,3.40,Mixed salad,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
27,75,3.60,Pomegranate seeds,Anna's Best,125.0,Fruits and Vegetables,Migros,2023-05-18
28,79,2.20,Mixed salad,Anna's Best,260.0,Fruits and Vegetables,Migros,2023-05-18
29,83,2.30,Iceberg lettuceOrganic,Migros Bio,150.0,Fruits and Vegetables,Migros,2023-05-18
30,84,2.95,SpinachBaby,Demeter,125.0,Fruits and Vegetables,Migros,2023-05-18
31,85,2.95,KiwiGreen,M-Budget,1000.0,Fruits and Vegetables,Migros,2023-05-18
32,87,3.10,KiwiGreen,Fresca,500.0,Fruits and Vegetables,Migros,2023-05-18
33,89,3.50,TomatoesMarsanino,Sélection,250.0,Fruits and Vegetables,Migros,2023-05-18
34,92,4.90,BeetrootPasteurized,Migros Bio,1000.0,Fruits and Vegetables,Migros,2023-05-18
35,93,1.50,ParsleyCurly,Migros Bio,30.0,Fruits and Vegetables,Migros,2023-05-18
36,95,9.95,AsparagusWhite,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-18
37,97,4.60,PotatoesWaxy,M-Budget,5000.0,Fruits and Vegetables,Migros,2023-05-18
38,98,3.50,King salad,Anna's Best,150.0,Fruits and Vegetables,Migros,2023-05-18
39,99,5.95,Apricots,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-18
40,100,3.20,PotatoesEarly,Fresca,1500.0,Fruits and Vegetables,Migros,2023-05-18
41,104,4.45,Spinach,unknown,500.0,Fruits and Vegetables,Migros,2023-05-18
42,106,1.10,Garlic,Fresca,250.0,Fruits and Vegetables,Migros,2023-05-18
43,107,2.50,Lime,Migros Bio,250.0,Fruits and Vegetables,Migros,2023-05-18
44,108,2.90,Alice Salad,Anna's Best,250.0,Fruits and Vegetables,Migros,2023-05-18
45,109,3.60,Mixed saladOrganic,Migros Bio,250.0,Fruits and Vegetables,Migros,2023-05-18
46,119,3.20,NectarinesYellow,Fresca,1000.0,Fruits and Vegetables,Migros,2023-05-18
47,121,2.20,Beetroot saladOrganic,Migros Bio,350.0,Fruits and Vegetables,Migros,2023-05-18
48,122,0.90,ChiliTricolor,unknown,100.0,Fruits and Vegetables,Migros,2023-05-18
49,126,1.90,Garlic,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
50,127,2.95,Young leaf salad,Anna's Best,100.0,Fruits and Vegetables,Migros,2023-05-18
51,128,2.60,Beetroot cubesOrganic,Migros Bio,300.0,Fruits and Vegetables,Migros,2023-05-18
52,131,2.80,Spring seasonal salad,Migros Bio,120.0,Fruits and Vegetables,Migros,2023-05-18
53,132,4.55,Fresh Shiitake mushrooms,Migros Bio,150.0,Fruits and Vegetables,Migros,2023-05-18
54,134,3.80,OrangesBlond,M-Budget,3000.0,Fruits and Vegetables,Migros,2023-05-18
55,135,3.45,  BioSpinach saladOrganic,Anna's Best,100.0,Fruits and Vegetables,Migros,2023-05-18
56,137,4.60,PotatoesFloury Cooking,M-Budget,5000.0,Fruits and Vegetables,Migros,2023-05-18
57,139,2.95,Melon,Anna's Best,150.0,Fruits and Vegetables,Migros,2023-05-18
58,142,2.85,Back to the Roots salad,California,250.0,Fruits and Vegetables,Migros,2023-05-18
59,143,4.50,Salad bouquet,Anna's Best,250.0,Fruits and Vegetables,Migros,2023-05-18
60,144,2.30,  BioBeetroot saladOrganic,Anna's Best,500.0,Fruits and Vegetables,Migros,2023-05-18
61,145,8.90,AsparagusWhite,Migros Bio,500.0,Fruits and Vegetables,Migros,2023-05-18
62,146,1.90,PepperoniCecei,M-Budget,500.0,Fruits and Vegetables,Migros,2023-05-18
63,147,2.60,Betteraves,Anna's Best,400.0,Fruits and Vegetables,Migros,2023-05-18
64,151,2.60,Soup vegetables,Anna's Best,250.0,Fruits and Vegetables,Migros,2023-05-18
65,152,2.90,Vegetable stalks,Anna's Best,250.0,Fruits and Vegetables,Migros,2023-05-18
66,153,2.20,Coconut,Anna's Best,80.0,Fruits and Vegetables,Migros,2023-05-18
67,154,1.60,Mixed salad,Anna's Best,100.0,Fruits and Vegetables,Migros,2023-05-18
68,155,3.95,Watermelon,Anna's Best,250.0,Fruits and Vegetables,Migros,2023-05-18
69,157,2.50,Young leaf saladRed - organic,Migros Bio,100.0,Fruits and Vegetables,Migros,2023-05-18
70,160,2.95,Onion seedlingsOrganic,Migros Bio,35.0,Fruits and Vegetables,Migros,2023-05-18
71,161,4.95,Pineapple,Anna's Best,500.0,Fruits and Vegetables,Migros,2023-05-18
