,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,Regional Price,M-Classic  IP-SUISSELight wheat breadToast & Sandwich,unknown,,"Bread, Pastries, & Breakfast",Migros,2023-05-23
1,3.30,  IP-SUISSEXL Toast,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
2,0.35,Fresh baker's yeast ,unknown,42g42g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
3,1.10,M-BudgetLight wheat breadPart baked,unknown,2 x 150g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
4,1.40,M-Classic  IP-SUISSEFine crystal sugar,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
5,3.80,  IP-SUISSEXL ToastWith wholewheat flour,American Favorites,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
6,5.25,Hazelnut nougat cream,Nutella,700g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
7,1.55,M-ClassicPuff pastryRolled out and round ,unknown,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
8,1.20,M-Classic  IP-SUISSEToast bread light in slicesToast & Sandwich,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
9,2.80,Toast breadDark,Migros Bio,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
10,1.55,M-ClassicCake doughLowered and round,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
11,1.70,Corn wafers,Lilibiggs,130g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
12,2.10,M-Classic  IP-SUISSEWhite flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
13,2.10,IP-SUISSEOriginal spelt toast,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
14,2.30,M-BudgetPuff pastryFlattened and rectangular,unknown,2 x 320g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
15,4.60,Pizza doughRolled out and square ,Anna's Best,40x25cm580g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
16,1.–,M-BudgetHousehold flour White flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
17,2.90,M-BudgetPizza dough XLRolled out und square,unknown,800g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
18,2.20,Buns for hamburgers and sandwichesWith sesame,American Favorites,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
19,0.50,Fresh baker's yeast ,Migros Bio,42g42g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
20,2.95,M-Classic  IP-SUISSECrunchy bread rollsPre-baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
21,1.45,M-BudgetToast dark wheat bread,unknown,560g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
22,2.70,  IP-SUISSEDark breadSliced,Happy Bread,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
23,6.95,  TresorCrunchy cereal pillow with delicious Choco fillingChoco nut,Kellogg's,620g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
24,3.30,M-Classic  IP-SUISSELight wheat breadPart baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
25,2.80,Flambkuchen dough,Anna's Best,2 x 200g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
26,1.95,Milk Bread,unknown,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
27,2.10,IP-SUISSEWholemeal bread toast,unknown,280g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
28,1.50,Garlic baguettePre-baked,Farmland,175g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
29,2.95,"Buns for hamburgers and sandwiches, pre-cutXXL",American Favorites,310g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
30,1.45,M-BudgetToast light wheat bread,unknown,560g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
31,3.50,M-ClassicRusk,unknown,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
32,0.85,Dried yeast,Patissier,6 x 7g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
33,0.95,Corn wafers with salt,Alnatura,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
34,4.95,  Crunchy CreamSpread,Ovomaltine,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
35,2.50,Pita breadPart baked,unknown,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
36,1.20,Wholemeal rice wafers with milk chocolate,unknown,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
37,2.50,Spelt pizza doughSquare ,Anna's Best,36x23cm400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
38,5.20,M-ClassicChocolate rolls,unknown,720g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
39,2.10,M-Classic  IP-SUISSEZopf flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
40,3.50,M-Classic  IP-SUISSEButter zopfPart baked,unknown,550g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
41,2.55,Pâte à tartiner au chocolat et aux noisettes,Nutella,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
42,5.60,M-Classic  IP-SUISSEButter braidPre-baked,unknown,700g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
43,2.20,M-ClassicAmerican toastWith wholemeal,unknown,730g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
44,1.20,M-ClassicWholemeal rice wafersYogurt-flavored,unknown,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
45,1.50,M-ClassicWholemeal oat flakesSubtle.,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
46,3.10,M-Classic  IP-SUISSEBread rolls with butterPre-baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
47,1.95,  IP-SUISSEXL Toast,American Favorites,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
48,2.60,Spelt cake doughRound ,Anna's Best,33cm300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
49,5.20,  ChocosCrunchy cereal foodChoco,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
50,2.80,Baking chocolate cubes,Patissier,160g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
51,3.95,Vanilla sugar made from Bourbon vanilla,Patissier,4 x 10g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
52,8.40,"M-Classic  IP-SUISSEWhite flourIdeal for fine baked goods, light and airy breads and sauces",unknown,4 x 1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
53,3.30,M-Classic  IP-SUISSEDark wheat breadPart baked,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
54,6.50,Maple syrup,Migros Bio,250ml,"Bread, Pastries, & Breakfast",Migros,2023-05-23
55,1.75,Swiss wholegrain oat flakesFine,Migros Bio,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
56,2.60,Pizza flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
57,0.50,Baking Powder,Patissier,10 x 15g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
58,1.40,M-Classic  IP-SUISSEToast bread with wholemeal flour in slicesToast Rustico,unknown,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
59,5.60,M-Classic  CristalFine crystal sugar,unknown,4 x 1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
60,2.30,M-Classic  FairtradeRaw sugar from sugar cane,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
61,2.40,M-Classic  IP-SUISSESandwiches breadEat the same day,unknown,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
62,1.70,M-ClassicPuff pastryFlattened and square ,unknown,42x26cm320g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
63,3.45,  aha!Wholemeal rice wafers coated with milk chocolateGluten free,Migros Bio,3 x 45g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
64,2.50,M-Classic  IP-SUISSEBalloonsPre-baked,unknown,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
65,3.80,M-Classic  IP-SUISSEButter braidPre-baked,unknown,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
66,3.95,  CrocMuesli NibblesWith wild berries,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
67,3.75,Spelt flourType ,Alnatura,6301kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
68,2.60,M-ClassicPasty,unknown,198g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
69,2.40,Cake dough rolled outRound ,Migros Bio,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
70,2.20,M-ClassicPastyPuff pastries,unknown,132g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
71,3.30,  Vital+ FitMultigrain breadSliced,Harry,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
72,1.50,M-Classic  MicrocWheat crispbread,unknown,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
73,4.45,M-Classic  IP-SUISSEPretzel from silsPre-baked,unknown,310g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
74,1.50,M-Classic  MicrocRye crisp slice,unknown,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
75,3.95,  CrocMuesli NibblesChocolate flakes,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
76,1.65,M-ClassicCooking chocolate,unknown,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
77,2.70,Milk BreadWith chocolate,unknown,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
78,1.75,Rice cakesApple,Lilibiggs,60g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
79,1.80,M-Budget  Corn FlakesCorn flakes with ,unknown,8 vitamins600g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
80,1.60,Pure powdered sugar,unknown,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
81,3.25,M-BudgetBrioche Summit,unknown,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
82,3.70,M-ClassicPeanut butterCrunchy,unknown,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
83,2.50,M-BudgetCake doughSquare,unknown,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
84,4.90,Blossom honeySqueeze,Squeeze,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
85,3.–,M-BudgetAlmondsGround,unknown,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
86,0.50,Vanillin sugar,Patissier,10 x 8g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
87,2.–,M-Classic  CristalSugar cubes,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
88,2.80,M-Classic  IP-SUISSEMini sandwichesEat the same day,unknown,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
89,Regional Price,M-ClassicBread roll with wholemeal flourPre-baked,unknown,,"Bread, Pastries, & Breakfast",Migros,2023-05-23
90,Regional Price,Carac,unknown,,"Bread, Pastries, & Breakfast",Migros,2023-05-23
91,1.85,Honey rice cake,Alnatura,96g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
92,2.25,M-BudgetJamRaspberries,unknown,450g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
93,4.40,Butter braidPart-baked,Migros Bio,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
94,2.80,M-ClassicSugar sticksX,unknown,4500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
95,3.40,Aha!Farmhouse breadGluten- and lactose-free,unknown,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
96,3.55,Pizza doughRolled out and extra thin,Anna's Best,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
97,3.90,BürliPre-baked,Migros Bio,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
98,3.–,White flour,Migros Bio,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
99,2.20,  IP-SUISSEXL ToastVitality,American Favorites,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
100,1.90,Rice cakesWith strawberry yogurt,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
101,1.–,Lentil wafersSea-salt,Alnatura,44g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
102,2.–,High Protein sliced toast,Oh!,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
103,2.–,M-BudgetRusk,unknown,510g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
104,3.70,M-ClassicPeanut butterCreamy,unknown,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
105,1.20,M-ClassicWholemeal rice wafers coated with dark chocolate,unknown,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
106,2.10,M-Classic  IP-SUISSEWheat half-white flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
107,3.70,Brioche St-Germain,unknown,330g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
108,3.10,Protein bread,You,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
109,2.20,Buns for hamburgers and sandwiches,American Favorites,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
110,1.65,Rice cakesWith yogurt,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
111,4.20,BerlinRaspberry-redcurrant,unknown,280g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
112,2.75,  ExtraJamStrawberries,Belle Journée,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
113,4.30,Wholemeal breakfast,Weetabix,430g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
114,2.95,Agave syrupDispenser bottle,Alnatura,250ml,"Bread, Pastries, & Breakfast",Migros,2023-05-23
115,2.80,Puff pastryRolled and angular,Migros Bio,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
116,2.20,M-Classic  IP-SUISSERuch flour,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
117,3.75,M-ClassicPizza doughSPHERE,unknown,800g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
118,Regional Price,Crustless toast,unknown,,"Bread, Pastries, & Breakfast",Migros,2023-05-23
119,2.45,M-ClassicCrunchy bread rolls,unknown,225g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
120,3.40,M-Classic  CubanaRaw sugar from sugar cane in cubes,unknown,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-23
121,0.90,M-ClassicRice wafersGluten free,unknown,130g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
122,2.90,Cream Cuts,unknown,157g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
123,3.80,M-ClassicHazelnutsGround,unknown,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
124,0.60,Baking soda,Patissier,50g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
125,1.40,Chocolate rice wafers dark,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-23
