,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2.60,Corn grains,M-Classic,3 x 140g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
1,2.95,French Mayonnaise,Thomy,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
2,0.70,Table vinegar,M-Budget,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
3,2.30,Long grain riceParboiled,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
4,1.95,MSC Pink TunaIn water,M-Classic,155g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
5,1.05,Cooking saltContains fluorine and iodine,Jura-Sel,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
6,1.25,Chopped peeled tomatoes,Migros Bio,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
7,1.40,Spaghetti,M-Budget,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
8,1.50,Chopped peeled tomatoes,Longobardi,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
9,0.95,Tomato pureeTriple concentrate,M-Classic,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
10,1.90,ÄlplermagronenWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
11,1.75,MacaroniLarge with eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
12,6.50,Olive oilVirgin,M-Budget,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
13,3.95,Ketchup,Heinz,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
14,1.50,Mayonnaise,M-Budget,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
15,1.90,Spiral-nudelnWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
16,1.25,Corn grains,M-Classic,285g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
17,2.60, KitchenCoconut milk,Thai,250ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
18,1.40,Macaroni,M-Budget,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
19,5.20,Rapeseed oil,M-Classic,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
20,1.20,Tomato sauceWith basilico,M-Budget,420g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
21,2.95,  ThomynaiseCalorie-reduced mayonnaiseLight,Thomy,280g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
22,1.45,Corn,Alnatura,230g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
23,1.90,PenneWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
24,1.75,MacaroniWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
25,1.30,Pizza SauceBasil,Longobardi,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
26,1.20,ChickpeasCooked,M-Classic,250g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
27,1.40,Penne,M-Budget,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
28,2.30,Soft wheat tortillas,El Sombrero,490g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
29,1.95,MayonnaiseClassic,M-Classic,265g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
30,2.30,Gherkins,Condy,290g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
31,5.95,  BioBasmati rice,Mister Rice,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
32,1.40,Passata,Alnatura,690g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
33,0.95,Button mushroomsSliced,M-Classic,115g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
34,2.45,Spaghetti ,M-Classic,1.8mmWith eggs750g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
35,1.65,Tube of tomato paste,Alnatura,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
36,1.90,TieWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
37,14.95,"  ClassicoOlive oil, extra virgin",Monini,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
38,3.75,Connoisseur wheat,Ebly,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
39,4.50,  BasmatiBasmati rice,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
40,2.95,Tomato puree,Thomy,300g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
41,1.25,Fusilli,M-Budget,900g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
42,3.–,Jasmine rice,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
43,1.90,SpätzliWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
44,1.20,Tomato sauce,M-Budget,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
45,0.80,Tomatoes,M-Budget,400g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
46,2.30,Mild mustard,Thomy,200g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
47,1.05,"Chives, dried",unknown,7g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
48,1.70,Peas with carrotsSubtle.,M-Classic,260g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
49,1.95,Pink tuna MSCIn soybean oil,M-Classic,155g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
50,0.95,Corn grains,M-Budget,285g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
51,1.95,Homemade pastaExtra wide with eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
52,4.30, KitchenCoconut milk,Thai,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
53,8.40,Organic oliveGreek ,Migros Bio,13.50500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
54,3.60,IP-SUISSERapeseed oil,unknown,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
55,2.95,  KressiWine vinegar mildly spicedWith herbs,Chirat,1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
56,9.50,"Olive oil, extra virginFFA max. ",Don Pablo,0.5%1l,"Pasta, Condiments & Canned Food",Migros,2023-05-19
57,2.90,Red lentils,Migros Bio,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
58,3.20,RöstiPotatoes ready to fry,M-Classic,750g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
59,2.10,SchnäggliWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
60,0.95,  PassataTomato puree,M-Budget,500ml,"Pasta, Condiments & Canned Food",Migros,2023-05-19
61,1.70,Red beans,M-Classic,310g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
62,3.60,Saffron,M-Classic,4 sachets of 125mg4 x 0.125g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
63,1.45,Pineapple pieces in pineapple juice,Sun Queen,140g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
64,4.95,  MiflocMashed potatoes,M-Classic,4 x 95g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
65,2.95,Tomato sauce with basil,Longobardi,700g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
66,2.95,Risotto d'Italia,M-Classic,1kg,"Pasta, Condiments & Canned Food",Migros,2023-05-19
67,1.80,Chickpeas,Alnatura,220g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
68,1.90,Chinese noodlesWith eggs,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
69,3.75,Pink tunaIn brine,M-Classic,3 x 80g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
70,2.70,  BioCurlsSpelt,Alnatura,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
71,2.80, KitchenRice noodles,Thai,250g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
72,1.40,Capers in vinegar,Condy,65g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
73,2.60,Cereals,M-Classic,750g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
74,2.30,RöstiPotatoes ready to fry,M-Classic,500g,"Pasta, Condiments & Canned Food",Migros,2023-05-19
