,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,2,0.70,Table vinegar,M-Budget,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
1,12,6.50,Olive oilVirgin,M-Budget,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
2,13,3.95,Ketchup,Heinz,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
3,17,2.60, KitchenCoconut milk,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
4,19,5.20,Rapeseed oil,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
5,37,14.95,"  ClassicoOlive oil, extra virgin",Monini,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
6,44,1.20,Tomato sauce,M-Budget,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
7,52,4.30, KitchenCoconut milk,Thai,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
8,53,8.40,Organic oliveGreek ,Migros Bio,0.013505000000000001,"Pasta, Condiments & Canned Food",Migros,2023-05-19
9,54,3.60,IP-SUISSERapeseed oil,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
10,55,2.95,  KressiWine vinegar mildly spicedWith herbs,Chirat,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
11,56,9.50,"Olive oil, extra virginFFA max. 0.5%",Don Pablo,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
12,60,0.95,  PassataTomato puree,M-Budget,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
13,75,1.50,  all' ItalianaTomato sauceNaples,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
14,87,2.55, KitchenCoconut milkLight,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
15,115,2.20,Salad dressing,M-Budget,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
16,116,2.75,Tomato ketchup,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
17,119,3.40,Sunflower oilRich in natural vitamin E,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
18,127,3.20,Soy sauceVégétale,Kikkoman,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-19
19,128,2.60,Cider vinegar,Migros Bio,0.57,"Pasta, Condiments & Canned Food",Migros,2023-05-19
20,133,4.50,Edible oil,M-Budget,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
21,150,2.90, KitchenCoconut milk,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
22,152,3.–,Coconut milk,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
23,154,5.65,Tomato ketchup,Heinz,0.8,"Pasta, Condiments & Canned Food",Migros,2023-05-19
24,162,5.40,Swiss HOLL rapeseed oil,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
25,163,1.75,"Apple vinegar with apple juice concentrate, coloredAcidity: 4.5%",M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
26,166,1.30,  all' ItalianaTomato sauceBasil and olive oil,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
27,169,1.90,  Asian FoodCoconut milk,Chop Stick,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
28,173,4.80,  ModenaVinegar from grape must,Ponti,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
29,177,4.50,"Aceto balsamico di ModenaSweet-sour taste, 6% acidity",Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
30,186,4.50,Condimento Bianco,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
31,192,5.80,Soy sauceVégétale,Kikkoman,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
32,197,4.40,Vegetable oil preparation,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
33,212,1.55,White wine vinegar,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
34,252,4.80, KitchenSweet chili sauce,Thai,0.435,"Pasta, Condiments & Canned Food",Migros,2023-05-19
35,266,5.70,Margarine with 10% butter,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
36,271,5.80,  Asian FoodSesame oil,Chop Stick,0.19,"Pasta, Condiments & Canned Food",Migros,2023-05-19
37,276,7.30,Coconut oil,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
38,282,3.15,Curry Mango SauceFruity and &spicy,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
39,295,5.60,Sesame oilNative,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
40,301,3.35,  Simply JapaneseSushi rice marinadeRice vinegar,Saitaku,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-19
41,302,8.50,Extra virgin olive oilOrganic,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
42,304,1.95,  all' ItalianaTomato sauceBolognese,Salsa,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
43,313,3.95,Béchamel sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
44,315,5.80,Soy sauceWith 43% less salt,Kikkoman,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
45,318,3.95,Mushroom sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
46,331,15.80,Vegetable frying oil,M-Classic,3.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
47,340,3.20,Aceto Balsamico di Modena,Migros Bio,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
48,344,2.60,Apple vinegarNaturally cloudy,Migros Bio,0.57,"Pasta, Condiments & Canned Food",Migros,2023-05-19
49,346,6.–,Peanut oil,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
50,348,5.20,Rapeseed oil,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
51,362,3.15,Cocktail sauceCreamy &tomato,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
52,364,3.95,Cream sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
53,366,2.20,Cocktail sauce,M-Budget,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
54,380,8.50,"Olive oil, extra virginGreek ",Alexis,0.0135075,"Pasta, Condiments & Canned Food",Migros,2023-05-19
55,383,3.95,Curry sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
56,384,8.60,"  ClassicoOlive oil, extra virgin",Monini,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
57,385,9.40,Italian olive oil,Migros Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
58,399,5.15,Andalouse sauce,Heinz,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
59,403,5.60,Aceto balsamico di ModenaIndicazione Geografica Protetta,Ponti,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
60,410,4.95,Barbecue sauceOriginal,Bull's-Eye,0.3,"Pasta, Condiments & Canned Food",Migros,2023-05-19
61,411,5.30,  TeriyakiSauceWith roasted sesame seeds,Kikkoman,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
62,412,9.40,Olive OilExtra vergine,Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
63,415,2.95,Tomato sauceWith herbs,Alnatura,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
64,419,4.95,Salad SauceWith herbs,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
65,437,2.10,Coconut milk,Alnatura,0.2,"Pasta, Condiments & Canned Food",Migros,2023-05-19
66,449,2.20,Curry sauce,M-Budget,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
67,452,3.15,Barbecue sauceSmoky &spicy,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
68,457,7.95,TabascoRed,Mc Ilheny Co,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-19
69,470,5.50,"Olive oil, extra virginFFA max. 0.5%",Don Pablo,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
70,472,10.30,Cooking cream,M-Classic,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
71,473,2.85,  Asian FoodSweet-sour sauce,Chop Stick,0.27,"Pasta, Condiments & Canned Food",Migros,2023-05-19
72,474,5.95,Sunflower oil,Migros Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
73,475,4.50,Flaxseed oilNative,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
74,481,3.95,Zurich sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
75,483,2.20,Tartare sauce,M-Budget,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
76,497,5.50,  aha!Soy sauceGluten free,Kikkoman,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
77,499,4.95,Salad SauceFrench dressing,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
78,506,6.95, KitchenCoconut milk,Thai,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
79,508,4.70, KitchenCoconut milk,Thai,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
80,523,3.25,Condimento bianco,Ponti,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
81,524,7.30,Coconut oilNeutral,Alnatura,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
82,537,9.85,Soy saucePlant-based,Kikkoman,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
83,539,3.95,Bérnaise sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
84,546,3.–, KitchenFish sauce (Nuoc Man),Thai,0.2,"Pasta, Condiments & Canned Food",Migros,2023-05-19
85,552,2.85,Vegetarian vegetables Bolognese,Alnatura,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
86,553,14.95,"  DelicatoOlive oil, extra virginFFA max. ",Monini,0.51,"Pasta, Condiments & Canned Food",Migros,2023-05-19
87,558,5.50,  BalanceVegetable oil preparation,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
88,560,3.70,Organic soy sauceNaturally brewed,Kikkoman,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-19
89,568,4.20,  OriginCream with balsamic vinegar from Modena,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
90,570,1.75,White wine vinegarWith herbs and cooking salt,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
91,576,3.15,Garlic sauceCreamy &fresh,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
92,582,3.75,Bacon Burger Sauce,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
93,583,3.10,Thai curry coconut,Alnatura,0.325,"Pasta, Condiments & Canned Food",Migros,2023-05-19
94,584,3.10, curry coconut,Thai,0.325,"Pasta, Condiments & Canned Food",Migros,2023-05-19
95,595,3.20, KitchenCoconut creamKati,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
96,603,3.10,  BioKetchup,Alnatura,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
97,604,4.95,Sriracha chili sauce,Flying Goose,0.455,"Pasta, Condiments & Canned Food",Migros,2023-05-19
98,610,6.50,Grapeseed oil,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
99,611,2.20,Garlic sauce,M-Budget,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
100,629,2.50,  Asian FoodSoy sauce,Chop Stick,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
101,632,19.50,"Olive oil, extra virgin",Monini,0.75,"Pasta, Condiments & Canned Food",Migros,2023-05-19
102,633,3.20,Organic Ricotta Tomato Sauce,Alnatura,0.35,"Pasta, Condiments & Canned Food",Migros,2023-05-19
103,637,2.75,Worcestershire sauceSeasoned,Lea & Perrins,0.15,"Pasta, Condiments & Canned Food",Migros,2023-05-19
104,643,1.70,Aceto Balsamico di Modena IGP,M-Budget,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
105,656,3.95,Sauce gratin,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
106,665,4.95,  LégerSalad dressingWith herbs,M-Classic,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
107,666,8.50,"  ClassicoOlive oil, extra virgin",Monini,0.45,"Pasta, Condiments & Canned Food",Migros,2023-05-19
108,668,3.95,  KressiBio wine vinegar mildly spicedWith herbs,Chirat,1.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
109,682,4.30,Soy Sauce Shoyu,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
110,688,3.20,Tomato soupWith mascarpone,Migros Bio,0.4,"Pasta, Condiments & Canned Food",Migros,2023-05-19
111,692,2.95,Red wine vinegarWith raspberry,Migros Bio,0.57,"Pasta, Condiments & Canned Food",Migros,2023-05-19
112,712,2.95,Mango fruit sauce,Alnatura,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
113,714,3.10, KitchenSpring Roll Sauce,Thai,0.2,"Pasta, Condiments & Canned Food",Migros,2023-05-19
114,731,6.95,  AromatizzatoVirgin olive oil for pizzaWith garlic and chili aroma,Monini,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
115,739,6.95,  AromatizzatoVirgin olive oilWith lemon flavor,Monini,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
116,744,3.30,SauceCocktail,Thomy,0.3,"Pasta, Condiments & Canned Food",Migros,2023-05-19
117,745,9.90,Organic olive oil for cooking,Alnatura,0.75,"Pasta, Condiments & Canned Food",Migros,2023-05-19
118,761,4.40, KitchenRed Curry Sauce,Thai,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
119,766,3.75,Sweet chili sauce,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
120,777,3.75,The classic American steak sauce,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
121,779,3.95,Pepper sauce,Thomy,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
122,784,5.95,frenchSauce à saladeBIO,Bio,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
123,793,4.90,Bio garlic and chili sauce,Bandits,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
124,794,4.90, garlic and chili sauce,Bio,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
125,799,4.50,Salad SauceFrench dressing with bear's garlic,M-Classic,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
126,813,3.15,Sticky BBQ SauceHot & spicy,Heinz,0.22,"Pasta, Condiments & Canned Food",Migros,2023-05-19
127,815,19.50,"  ClassicoOlive oil, extra virginDelicato",Monini,2.0,"Pasta, Condiments & Canned Food",Migros,2023-05-19
128,824,2.20,  ClassicoHuile d'olive vierge extra,Monini,0.05,"Pasta, Condiments & Canned Food",Migros,2023-05-19
129,830,14.50,Monini Olivenöl Il Decantato,Monini,0.75,"Pasta, Condiments & Canned Food",Migros,2023-05-19
130,831,8.90,Aus der Region Thaler Rapsöl,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
131,832,10.80,Aus der Region Rapsöl,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
132,833,7.95,Aus der Region Rapsoel,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
133,834,8.90,Olio Extra Vergine Costolata,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
134,835,2.95,Aus der Region Basilikum Apfelessig,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
135,836,8.90,Aus der Region Aronia Balsamico,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
136,837,15.80,Aceto Balsamico di Modena,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
137,838,5.40,Giacobazzi Condimento Himbeere,Giacobazzi,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
138,839,4.20,Weinessig Nostrano,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
139,840,12.60,Aus der Region Apfelbalsamessig,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
140,841,6.90,Aus der Region Apfelbalsamico,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
141,846,12.20,Aus der Region Rapsoel,unknown,0.5,"Pasta, Condiments & Canned Food",Migros,2023-05-19
142,847,7.85,Aus der Region Rapsöl,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
143,848,9.50,Aus der Region Leinöl,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
144,854,2.95,Migros Bio Weissweinessig Estragon,Migros Bio,0.57,"Pasta, Condiments & Canned Food",Migros,2023-05-19
145,859,8.–,Aus der Region Erdbeeressig,unknown,0.25,"Pasta, Condiments & Canned Food",Migros,2023-05-19
