,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,1.50,Chocolate cookies,M-Budget,225g,Snacks & Sweets,Migros,2023-05-18
1,2.25,Wave chipsBell pepper,M-Budget,150g,Snacks & Sweets,Migros,2023-05-18
2,5.70,  OriginalChipsPeppers - Family Pack,Zweifel,280g,Snacks & Sweets,Migros,2023-05-18
3,2.60,Spanish black olivesOrigin,M-Classic,150g,Snacks & Sweets,Migros,2023-05-18
4,3.95,Spelt biscuitsGruyère AOC,Blévita,228g,Snacks & Sweets,Migros,2023-05-18
5,4.40,Mango slices dried,Sun Queen,200g,Snacks & Sweets,Migros,2023-05-18
6,2.95,  MiniApéritifs CrackersBell pepper,Blévita,130g,Snacks & Sweets,Migros,2023-05-18
7,1.–,  FlipsCorn and peanut snack,M-Classic,200g,Snacks & Sweets,Migros,2023-05-18
8,3.50,ChipsBell pepper,M-Budget,350g,Snacks & Sweets,Migros,2023-05-18
9,3.30,Wafer CutsMilk chocolate with hazelnuts,Knoppers,200g,Snacks & Sweets,Migros,2023-05-18
10,1.25,Petit-Beurre with milk chocolate,M-Budget,125g,Snacks & Sweets,Migros,2023-05-18
11,3.95,Spelt biscuitsThyme - sea salt,Blévita,228g,Snacks & Sweets,Migros,2023-05-18
12,3.65,Cashew nutsUnsalted,Sun Queen,200g,Snacks & Sweets,Migros,2023-05-18
13,3.60,CashewsUnsalted,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-18
14,5.70,  OriginalChipsNature - Family Pack,Zweifel,280g,Snacks & Sweets,Migros,2023-05-18
15,3.50,ChipsNatural,M-Budget,350g,Snacks & Sweets,Migros,2023-05-18
16,1.10,Pretzel sticks long,Party,250g,Snacks & Sweets,Migros,2023-05-18
17,2.55,  RiegelChocolate barsMilk chocolate with milk filling,Kinder,210g,Snacks & Sweets,Migros,2023-05-18
18,3.95,  OriginalChipsBell pepper,Zweifel,175g,Snacks & Sweets,Migros,2023-05-18
19,3.60,Liège waffles,Lotus,250g,Snacks & Sweets,Migros,2023-05-18
20,3.95,  OriginalChipsSalt &Vinegar,Zweifel,175g,Snacks & Sweets,Migros,2023-05-18
21,2.95,  BiscoffCaramel biscuitsSpeculoos,Lotus,250g,Snacks & Sweets,Migros,2023-05-18
22,3.50,  FairtradeDried Mango,Migros Bio,100g,Snacks & Sweets,Migros,2023-05-18
23,0.95,PopcornSalted,M-Classic,100g,Snacks & Sweets,Migros,2023-05-18
24,2.70,Potato snackOriginal,Pom-Bär,100g,Snacks & Sweets,Migros,2023-05-18
25,2.85,Potato-based snackBell pepper,Jumpy's,100g,Snacks & Sweets,Migros,2023-05-18
26,2.95,  BarquetteGenoa biscuitWith Strawberry filling,LU,120g,Snacks & Sweets,Migros,2023-05-18
27,2.70,Petit-Beurre with milk chocolate,unknown,150g,Snacks & Sweets,Migros,2023-05-18
28,4.60,er  Soft ChocCereal barsChoco-Apple,Farm,288g,Snacks & Sweets,Migros,2023-05-18
29,2.95,Walnut kernels,M-Budget,200g,Snacks & Sweets,Migros,2023-05-18
30,0.85,"OlivesGreen, pitted",M-Budget,170g,Snacks & Sweets,Migros,2023-05-18
31,5.60,,Blévita,5-grain biscuitsChocolate &sesame267g,Snacks & Sweets,Migros,2023-05-18
32,2.80,"  FairtradeDatesDried, without stone",Migros Bio,200g,Snacks & Sweets,Migros,2023-05-18
33,2.95,Pizza Crackers,Party,150g,Snacks & Sweets,Migros,2023-05-18
34,2.25,Preparation for popcornSalted,M-Classic,4 x 100g,Snacks & Sweets,Migros,2023-05-18
35,1.95,PastriesRädli,M-Classic,210g,Snacks & Sweets,Migros,2023-05-18
36,2.30,  OriginalChipsProvençal,Zweifel,90g,Snacks & Sweets,Migros,2023-05-18
37,2.95,  MikadoBiscuits covered with milk chocolate,LU,75g,Snacks & Sweets,Migros,2023-05-18
38,2.10,  BuenoMilk chocolateMilk and hazelnuts,Kinder,129g,Snacks & Sweets,Migros,2023-05-18
39,3.60,,Blévita,5-grain biscuitsSesame228g,Snacks & Sweets,Migros,2023-05-18
40,3.30,Almond kernelsUnsalted,Sun Queen,200g,Snacks & Sweets,Migros,2023-05-18
41,1.40,  Sky MixPotato starch snackBell pepper,M-Budget,125g,Snacks & Sweets,Migros,2023-05-18
42,3.55,Five-grain biscuitsWith sesame,Blévita,295g,Snacks & Sweets,Migros,2023-05-18
43,2.60,Chocolate barsMilk chocolate with Ovaltine,Ovomaltine,100g,Snacks & Sweets,Migros,2023-05-18
44,1.50,FlûtesWith sea salt,M-Budget,150g,Snacks & Sweets,Migros,2023-05-18
45,4.30,er  JuniorCereal barsStrawberry - Apple,Farm,138g,Snacks & Sweets,Migros,2023-05-18
46,4.60,er  SoftCereal barsBlackberry & Apple,Farm,234g,Snacks & Sweets,Migros,2023-05-18
47,3.95,  VayaCrisps and snacksSalted peas,Zweifel,80g,Snacks & Sweets,Migros,2023-05-18
48,2.65,Corn PuffsUnsalted,Migros Bio,85g,Snacks & Sweets,Migros,2023-05-18
49,2.95,Greek OlivesAmphisis,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-18
50,3.10,Preussen dessert,M-Classic,360g,Snacks & Sweets,Migros,2023-05-18
51,3.85,Spelt biscuitsOrganic,Blévita,280g,Snacks & Sweets,Migros,2023-05-18
52,0.85,Black olives,M-Budget,170g,Snacks & Sweets,Migros,2023-05-18
53,0.60,Dark chocolate,M-Budget,100g,Snacks & Sweets,Migros,2023-05-18
54,2.–,The hazelnut in caramel with nougat cream and chocolate,Toffifee,125g,Snacks & Sweets,Migros,2023-05-18
55,1.40,Linzer-Törtli,M-Classic,75g,Snacks & Sweets,Migros,2023-05-18
56,2.95,  GraneoMultigrain snacksOriginal,Zweifel,100g,Snacks & Sweets,Migros,2023-05-18
57,1.95,Crackers salted,Party,210g,Snacks & Sweets,Migros,2023-05-18
58,1.30,Milk chocolate,Kinder,100g,Snacks & Sweets,Migros,2023-05-18
59,0.50,Chocolate barsMilk chocolate,M-Budget,100g,Snacks & Sweets,Migros,2023-05-18
60,2.65,  CountryChocolate barsMilk chocolate with milk filling and cereals,Kinder,211g,Snacks & Sweets,Migros,2023-05-18
61,3.50,Dried sultanas,Migros Bio,400g,Snacks & Sweets,Migros,2023-05-18
62,2.95,Shortbread with apricot filling,M-Classic,150g,Snacks & Sweets,Migros,2023-05-18
63,1.80,Petit-Beurre,unknown,230g,Snacks & Sweets,Migros,2023-05-18
64,3.80,er  CrunchyCereal barsHoney,Farm,240g,Snacks & Sweets,Migros,2023-05-18
65,1.70,Double biscuitsWith cocoa cream filling,M-Budget,500g,Snacks & Sweets,Migros,2023-05-18
66,3.30,Walnut kernelsUnsalted,Migros Bio,100g,Snacks & Sweets,Migros,2023-05-18
67,4.60,er  SoftCereal barsRaspberry,Farm,240g,Snacks & Sweets,Migros,2023-05-18
68,3.30,MadeleinesWith chocolate chips,unknown,240g,Snacks & Sweets,Migros,2023-05-18
69,1.40,PopcornWith chocolada,M-Classic,120g,Snacks & Sweets,Migros,2023-05-18
70,2.50,AlmondsUnsalted,M-Budget,200g,Snacks & Sweets,Migros,2023-05-18
71,2.80,Chocolate snacksNutella filled,Nutella,132g,Snacks & Sweets,Migros,2023-05-18
72,2.75,CrackersClassic,Gran Pavesi,180g,Snacks & Sweets,Migros,2023-05-18
73,3.20,Cookies with nutella filling,Nutella,193g,Snacks & Sweets,Migros,2023-05-18
74,2.20,Puffed rice with milk chocolate coating,M-Budget,250g,Snacks & Sweets,Migros,2023-05-18
75,3.95,  OriginalChipsChicken in basket,Zweifel,175g,Snacks & Sweets,Migros,2023-05-18
76,3.95,  OriginalChipsMustard,Zweifel,175g,Snacks & Sweets,Migros,2023-05-18
77,3.95,  OriginalChipsNatural,Zweifel,175g,Snacks & Sweets,Migros,2023-05-18
78,3.40,er  SoftCereal barsMilk,Farm,174g,Snacks & Sweets,Migros,2023-05-18
79,1.95,  SnackettiPotato starch snackWith paprika,Zweifel,75g,Snacks & Sweets,Migros,2023-05-18
80,3.95,Spelt biscuitsTomato and basil,Blévita,228g,Snacks & Sweets,Migros,2023-05-18
81,1.60,PeanutsRoasted and salted,Party,250g,Snacks & Sweets,Migros,2023-05-18
82,4.20,Pretzel,unknown,200g,Snacks & Sweets,Migros,2023-05-18
83,3.20,Nut mixtureUnsalted,M-Budget,200g,Snacks & Sweets,Migros,2023-05-18
84,2.40,  Corn ChipsCorn ChipsOriginal,Zweifel,125g,Snacks & Sweets,Migros,2023-05-18
85,2.95,  miniSpelt biscuitsWith apple,Blévita,130g,Snacks & Sweets,Migros,2023-05-18
86,3.95,er  SoftCereal barsMilk & strawberry,Farm,174g,Snacks & Sweets,Migros,2023-05-18
87,3.20,CranberriesDried,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-18
88,4.80,AlmondsUnsalted,Migros Bio,200g,Snacks & Sweets,Migros,2023-05-18
89,2.80,  WaveChipsInferno,Zweifel,120g,Snacks & Sweets,Migros,2023-05-18
90,3.95,Spelt biscuitsOrganic,Blévita,228g,Snacks & Sweets,Migros,2023-05-18
91,3.95,  VayaSnackProtein Paprika,Zweifel,80g,Snacks & Sweets,Migros,2023-05-18
92,2.60,Crispy savory biscuitsTurtles Mini Snacks,Party,150g,Snacks & Sweets,Migros,2023-05-18
93,2.20,Spelt fresh egg waffles,Alnatura,165g,Snacks & Sweets,Migros,2023-05-18
94,3.50,ChipsSour Cream &Onion,Pringles,200g,Snacks & Sweets,Migros,2023-05-18
95,2.95,Spritz bear paws biscuits,unknown,380g,Snacks & Sweets,Migros,2023-05-18
96,4.70,er  Soft ChocCereal barsNatural,Farm,288g,Snacks & Sweets,Migros,2023-05-18
97,1.95,  FiluPotato snackOriginal,Zweifel,75g,Snacks & Sweets,Migros,2023-05-18
98,3.80,Nut mixtureUnsalted,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-18
99,1.40,Apricot tarts,M-Classic,75g,Snacks & Sweets,Migros,2023-05-18
100,3.95,Walnut kernelsUnsalted,Sun Queen,130g,Snacks & Sweets,Migros,2023-05-18
101,4.30,er  JuniorCereal barsApple and Blueberry,Farm,138g,Snacks & Sweets,Migros,2023-05-18
102,2.95,Greek olivesKalamata,Migros Bio,150g,Snacks & Sweets,Migros,2023-05-18
103,1.95,CrackersSalted,M-Classic,3 x 75g,Snacks & Sweets,Migros,2023-05-18
104,1.85,Nibbling owls,Alnatura,100g,Snacks & Sweets,Migros,2023-05-18
105,2.90,Green olivesFilled with almonds,unknown,150g,Snacks & Sweets,Migros,2023-05-18
106,1.95,Choco sprits,M-Budget,150g,Snacks & Sweets,Migros,2023-05-18
107,2.95,  PrinceBiscuit with chocolate filling,LU,300g,Snacks & Sweets,Migros,2023-05-18
108,2.85,Madeleines,unknown,220g,Snacks & Sweets,Migros,2023-05-18
109,3.20, ChipsChipsRosemary,Farm,150g,Snacks & Sweets,Migros,2023-05-18
110,2.95,  BarquetteGenoa biscuitWith raspberry filling,LU,120g,Snacks & Sweets,Migros,2023-05-18
111,1.95,Pretzel salted,Party,250g,Snacks & Sweets,Migros,2023-05-18
112,1.10,Crispy savory biscuits,M-Budget,250g,Snacks & Sweets,Migros,2023-05-18
113,3.75,  Premium NutsPeanutsWasabi,Sun Queen,150g,Snacks & Sweets,Migros,2023-05-18
114,2.95,Crackers Pretzel,Blévita,130g,Snacks & Sweets,Migros,2023-05-18
115,4.20,  Crunchy BiscuitBiscuits with Ovomaltine cream filling,Ovomaltine,250g,Snacks & Sweets,Migros,2023-05-18
116,1.–,  SavoiardiLady fingers,M-Classic,200g,Snacks & Sweets,Migros,2023-05-18
117,2.95,Spelt biscuit,Alnatura,330g,Snacks & Sweets,Migros,2023-05-18
118,2.90,"Chewing GumSpearmint, without sugar",M-Budget,154g,Snacks & Sweets,Migros,2023-05-18
119,3.95,Spelt biscuits with raisins,Migros Bio,260g,Snacks & Sweets,Migros,2023-05-18
120,3.80,Gently dried fruit and vegetable rollsStrawberry,Bear,100g,Snacks & Sweets,Migros,2023-05-18
121,2.65,Corn PuffsSalted,Migros Bio,85g,Snacks & Sweets,Migros,2023-05-18
122,1.85,Corn ChipsPlain,Alnatura,125g,Snacks & Sweets,Migros,2023-05-18
123,3.80,FinancierWith almonds,Grosis,330g,Snacks & Sweets,Migros,2023-05-18
124,3.95,Spelt biscuitsChia-Beet,Blévita,228g,Snacks & Sweets,Migros,2023-05-18
125,3.55,Five-grain biscuitsOriginal,Blévita,285g,Snacks & Sweets,Migros,2023-05-18
126,4.30,Tiroler CakeHazelnuts & chocolate,Grosis,340g,Snacks & Sweets,Migros,2023-05-18
127,2.25,Grissini Torinesi,Roberto,250g,Snacks & Sweets,Migros,2023-05-18
128,2.80,  MagdalenasSweet pastry,M-Budget,500g,Snacks & Sweets,Migros,2023-05-18
129,2.30,  OriginalChipsBell pepper,Zweifel,90g,Snacks & Sweets,Migros,2023-05-18
130,3.50,ChipsOriginal,Pringles,200g,Snacks & Sweets,Migros,2023-05-18
131,2.50,Milk chocolate sweets,Smarties,130g,Snacks & Sweets,Migros,2023-05-18
132,3.80,  DinosaurusBiscuits cereals and chocolate,Lotus,225g,Snacks & Sweets,Migros,2023-05-18
133,3.80,Shortbread with hazelnut-cocoa cream fillingCremisso,Tradition - Biscuits,175g,Snacks & Sweets,Migros,2023-05-18
134,4.30,"PistachiosRoasted, salted",Party,250g,Snacks & Sweets,Migros,2023-05-18
135,2.95,Pastry roll,M-Budget,2 x 220g,Snacks & Sweets,Migros,2023-05-18
136,1.95,Fruit jellyGold Bears,Haribo,350g,Snacks & Sweets,Migros,2023-05-18
