,Unnamed: 0,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,1.50,Chocolate cookies,M-Budget,225.0,Snacks & Sweets,Migros,2023-05-18
1,1,2.25,Wave chipsBell pepper,M-Budget,150.0,Snacks & Sweets,Migros,2023-05-18
2,2,5.70,  OriginalChipsPeppers - Family Pack,Zweifel,280.0,Snacks & Sweets,Migros,2023-05-18
3,3,2.60,Spanish black olivesOrigin,M-Classic,150.0,Snacks & Sweets,Migros,2023-05-18
4,4,3.95,Spelt biscuitsGruyère AOC,Blévita,228.0,Snacks & Sweets,Migros,2023-05-18
5,5,4.40,Mango slices dried,Sun Queen,200.0,Snacks & Sweets,Migros,2023-05-18
6,6,2.95,  MiniApéritifs CrackersBell pepper,Blévita,130.0,Snacks & Sweets,Migros,2023-05-18
7,7,1.–,  FlipsCorn and peanut snack,M-Classic,200.0,Snacks & Sweets,Migros,2023-05-18
8,8,3.50,ChipsBell pepper,M-Budget,350.0,Snacks & Sweets,Migros,2023-05-18
9,9,3.30,Wafer CutsMilk chocolate with hazelnuts,Knoppers,200.0,Snacks & Sweets,Migros,2023-05-18
10,10,1.25,Petit-Beurre with milk chocolate,M-Budget,125.0,Snacks & Sweets,Migros,2023-05-18
11,11,3.95,Spelt biscuitsThyme - sea salt,Blévita,228.0,Snacks & Sweets,Migros,2023-05-18
12,12,3.65,Cashew nutsUnsalted,Sun Queen,200.0,Snacks & Sweets,Migros,2023-05-18
13,13,3.60,CashewsUnsalted,Migros Bio,150.0,Snacks & Sweets,Migros,2023-05-18
14,14,5.70,  OriginalChipsNature - Family Pack,Zweifel,280.0,Snacks & Sweets,Migros,2023-05-18
15,15,3.50,ChipsNatural,M-Budget,350.0,Snacks & Sweets,Migros,2023-05-18
16,16,1.10,Pretzel sticks long,Party,250.0,Snacks & Sweets,Migros,2023-05-18
17,17,2.55,  RiegelChocolate barsMilk chocolate with milk filling,Kinder,210.0,Snacks & Sweets,Migros,2023-05-18
18,18,3.95,  OriginalChipsBell pepper,Zweifel,175.0,Snacks & Sweets,Migros,2023-05-18
19,19,3.60,Liège waffles,Lotus,250.0,Snacks & Sweets,Migros,2023-05-18
20,20,3.95,  OriginalChipsSalt &Vinegar,Zweifel,175.0,Snacks & Sweets,Migros,2023-05-18
21,21,2.95,  BiscoffCaramel biscuitsSpeculoos,Lotus,250.0,Snacks & Sweets,Migros,2023-05-18
22,22,3.50,  FairtradeDried Mango,Migros Bio,100.0,Snacks & Sweets,Migros,2023-05-18
23,23,0.95,PopcornSalted,M-Classic,100.0,Snacks & Sweets,Migros,2023-05-18
24,24,2.70,Potato snackOriginal,Pom-Bär,100.0,Snacks & Sweets,Migros,2023-05-18
25,25,2.85,Potato-based snackBell pepper,Jumpy's,100.0,Snacks & Sweets,Migros,2023-05-18
26,26,2.95,  BarquetteGenoa biscuitWith Strawberry filling,LU,120.0,Snacks & Sweets,Migros,2023-05-18
27,27,2.70,Petit-Beurre with milk chocolate,unknown,150.0,Snacks & Sweets,Migros,2023-05-18
28,28,4.60,er  Soft ChocCereal barsChoco-Apple,Farm,288.0,Snacks & Sweets,Migros,2023-05-18
29,29,2.95,Walnut kernels,M-Budget,200.0,Snacks & Sweets,Migros,2023-05-18
30,30,0.85,"OlivesGreen, pitted",M-Budget,170.0,Snacks & Sweets,Migros,2023-05-18
31,32,2.80,"  FairtradeDatesDried, without stone",Migros Bio,200.0,Snacks & Sweets,Migros,2023-05-18
32,33,2.95,Pizza Crackers,Party,150.0,Snacks & Sweets,Migros,2023-05-18
33,34,2.25,Preparation for popcornSalted,M-Classic,400.0,Snacks & Sweets,Migros,2023-05-18
34,35,1.95,PastriesRädli,M-Classic,210.0,Snacks & Sweets,Migros,2023-05-18
35,36,2.30,  OriginalChipsProvençal,Zweifel,90.0,Snacks & Sweets,Migros,2023-05-18
36,37,2.95,  MikadoBiscuits covered with milk chocolate,LU,75.0,Snacks & Sweets,Migros,2023-05-18
37,38,2.10,  BuenoMilk chocolateMilk and hazelnuts,Kinder,129.0,Snacks & Sweets,Migros,2023-05-18
38,40,3.30,Almond kernelsUnsalted,Sun Queen,200.0,Snacks & Sweets,Migros,2023-05-18
39,41,1.40,  Sky MixPotato starch snackBell pepper,M-Budget,125.0,Snacks & Sweets,Migros,2023-05-18
40,42,3.55,Five-grain biscuitsWith sesame,Blévita,295.0,Snacks & Sweets,Migros,2023-05-18
41,43,2.60,Chocolate barsMilk chocolate with Ovaltine,Ovomaltine,100.0,Snacks & Sweets,Migros,2023-05-18
42,44,1.50,FlûtesWith sea salt,M-Budget,150.0,Snacks & Sweets,Migros,2023-05-18
43,45,4.30,er  JuniorCereal barsStrawberry - Apple,Farm,138.0,Snacks & Sweets,Migros,2023-05-18
